종목코드,현재가,시총(억),네이버업종,배당수익률(사이트),52주고가,52주저가,추정PER(사이트),목표주가,외인비율,기업,순이익(E),당기순이익(E),영업이익(E),fPOR,fPER,fPER(사이트),PEG(매출)1y,PEG(영익)1y,PEG(매출)2y,PEG(영익)2y,PEG(매출)3y,PEG(영익)3y,영업이익률(E),ROE(E),부채비율,매출증가율1y,영익증가율1y,배당수익률,괴리율(목표주가),추정연도,전년영업이익률,전년도,비고,보유ETF수,보유ETF,최대비중,섹터1,섹터2,종목명,유효PEG,Type,탈락조건,플래그,기준일
214450,339000.0,34130.0,281,1.13,634000.0,254500.0,17.13,518750.0,11.91,파마리서치,2235.0,2235.0,2717.0,12.561648877438351,15.27069351230425,17.57,0.5077292579447471,0.5713851115249619,0.37102119673496137,0.3263882844095778,0.3937934368123964,0.3525381425755033,38.94782110091743,28.59,44.21,30.076449748275213,26.725746268656714,1.13,53.02359882005901,2026.12(E),39.97762446391945,2025.12,순이익=당기순이익 대체;,5,"K바이오,K이노베이션,K컬처,코리아밸류업,코스닥",9.01,바이오·헬스케어,미용의료·의료기기,파마리서치,0.5713851115249619,통과,,,2026-09-16
009150,1330000.0,1029279.0,282,0.17,2417000.0,188600.0,69.37,2350500.0,37.58,삼성전기,16054.0,16054.0,19468.0,52.87029997945346,64.11355425439143,66.3,2.396711962240434,0.5665690285489666,3.5556080729647594,1.021754343785326,3.712312718327118,1.4780164570470282,13.574875184782305,14.96,48.98,26.750629722921904,113.1610642724187,0.17,76.72932330827066,2026.12(E),8.071943081886076,2025.12,순이익=당기순이익 대체;,5,"Korea플러스배당,K신재생에너지,K이노베이션,코리아밸류업,코스피",4.02,반도체,전자부품,삼성전기,0.5665690285489666,탈락,"PEG매출>1,fPER>30",,2026-09-16
005930,250500.0,14805701.0,278,0.66,380000.0,77100.0,5.26,487045.0,46.56,삼성전자,3255167.0,3255167.0,3908322.0,3.7882500469510956,4.548369100571492,5.16,0.037432123128122025,0.005711294178169169,0.08019047641171206,0.018520920059716065,0.10869763757985443,0.0156609107084167,52.88879909419831,56.36,29.94,121.50978145170694,796.381513310444,0.66,94.42914171656686,2026.12(E),13.069642952957366,2025.12,순이익=당기순이익 대체;,4,"Korea플러스배당,K신재생에너지,코리아밸류업,코스피",26.14,반도체,메모리,삼성전자,0.018520920059716065,통과,,기저효과,2026-09-16
000660,1712000.0,12849361.0,278,0.17,3002000.0,333000.0,5.04,3305652.0,50.2,SK하이닉스,2526171.0,2526171.0,2649257.0,4.850175351051257,5.086496915687814,4.84,0.020023340199872168,0.01102863131861624,0.039755833693461584,0.02155357444833053,0.04276092299187648,,77.02965368512902,101.97,45.95,254.02839211213558,461.20835566439223,0.17,93.08714953271028,2026.12(E),48.59279831430198,2025.12,순이익=당기순이익 대체;,4,"Korea플러스배당,K신재생에너지,코리아밸류업,코스피",23.54,반도체,메모리,SK하이닉스,0.02155357444833053,통과,,기저효과,2026-09-16
006400,551000.0,436774.0,283,,820000.0,200500.0,55.87,704842.0,25.77,삼성SDI,9919.0,9919.0,3895.0,112.13709884467266,44.03407601572739,56.39,2.1987537215471047,,,12.42823086990448,,,2.4460549122057826,3.56,79.27,20.026834103431913,,,27.92050816696914,2026.12(E),-12.982881952557909,2025.12,순이익=당기순이익 대체;기저효과→PEG(영익)1y 산출불가,4,"K신재생에너지,K이노베이션,코리아밸류업,코스피",13.6,2차전지·에너지,셀,삼성SDI,12.42823086990448,탈락,"PEG매출>1,PEG영익>1,ROE<10,이익률<10,fPER>30,전년이익률<5",기저효과,2026-09-16
005380,369500.0,738152.0,273,2.77,787000.0,211000.0,9.53,697600.0,24.44,현대차,110358.0,110358.0,114487.0,6.4474743857381185,6.688704035955708,9.71,1.6283067689617097,,1.2878793416738545,,1.109039646832682,,5.904270845474134,8.38,188.95,4.1077665237618355,-0.16742385266701465,2.77,88.7956698240866,2026.12(E),6.157112982505121,2025.12,순이익=당기순이익 대체;,4,"Korea플러스배당,K신재생에너지,코리아밸류업,코스피",3.93,자동차,완성차,현대차,,탈락,"PEG매출>1,PEG영익>1,ROE<10,이익률<10",PER괴리,2026-09-16
003230,1275000.0,94841.0,268,0.38,1605000.0,981000.0,16.76,1864615.0,18.59,삼양식품,5659.0,5659.0,7338.0,12.92463886617607,16.759321434882487,17.0,0.4991713798196129,0.4191429530613264,0.4811610970554659,0.36492402068501323,0.43995288504839625,0.23701100485936116,23.359011905519832,37.36,72.74,33.57428352751084,39.98473864937046,0.38,46.2443137254902,2026.12(E),22.28931031550302,2025.12,순이익=당기순이익 대체;,4,"Korea플러스배당,K컬처,코리아밸류업,코스피",3.27,소비재·식품,음식료,삼양식품,0.4191429530613264,통과,,,2026-09-16
034730,555000.0,399490.0,313,1.45,920000.0,203500.0,3.41,855273.0,30.34,SK,346732.0,346732.0,123366.0,3.238250409351037,1.152157862556672,3.4,0.052153321008233985,,0.11314628051349346,0.009078516639017391,0.22300731403294757,0.030791068727743925,8.234797804694729,37.14,149.17,22.091744883796927,578.3942810008249,1.45,54.10324324324325,2026.12(E),1.4820302306457935,2025.12,순이익=당기순이익 대체;기저효과→PEG(영익)1y 산출불가,4,"Korea플러스배당,K신재생에너지,코리아밸류업,코스피",3.22,지주·소재,지주,SK,0.009078516639017391,탈락,"이익률<10,전년이익률<5","기저효과,PER괴리",2026-09-16
078930,114800.0,103486.0,313,2.69,133200.0,44000.0,4.18,145600.0,19.84,GS,29960.0,29960.0,51915.0,1.9933737840701147,3.454138851802403,4.32,0.2501707645740162,0.04496629016040187,0.5280654870793475,0.1155699555841793,1.0372165474135562,0.29440499271810844,18.113274694448613,15.97,86.04,13.807124336386845,76.81618473485234,2.69,26.82926829268293,2026.12(E),11.658546463840281,2025.12,순이익=당기순이익 대체;,4,"Korea플러스배당,K신재생에너지,코리아밸류업,코스피",2.55,지주·소재,지주,GS,0.04496629016040187,통과,,,2026-09-16
373220,363500.0,858780.0,283,,527000.0,290500.0,-285.38,519667.0,5.52,LG에너지솔루션,-5259.0,-5259.0,8405.0,102.17489589530042,,-284.13,,,,,,,2.5972139820033617,-1.46,129.0,36.70950244594835,-37.56035955723943,,42.962035763411286,2026.12(E),5.686513066180011,2025.12,순이익=당기순이익 대체;,3,"K신재생에너지,K이노베이션,코스피",9.61,2차전지·에너지,셀,LG에너지솔루션,,탈락,"PEG매출>1,PEG영익>1,ROE<10,이익률<10,fPER>30",,2026-09-16
