종목코드,기업,현재가,시총(억),fPOR,fPER,fPER(사이트),PEG(매출)1y,PEG(영익)1y,PEG(매출)2y,PEG(영익)2y,PEG(매출)3y,PEG(영익)3y,영업이익률(E),ROE(E),매출증가율1y,영익증가율1y,배당수익률,추정연도,비고,탈락조건,1차결과,보유ETF수,보유ETF,최대비중,기준일
005930,삼성전자,281500.0,,,,5.85,,,,,,,53.059483246522554,56.2,121.6518053187908,799.8529850232792,1.39,2026.12(E),,,통과,5,"Korea플러스배당,K신재생에너지,K이노베이션,코리아밸류업,코스피",28.87,2026-08-22
214450,파마리서치,400500.0,,,,20.93,,,,,,,39.03912543153049,28.54,29.62893902666417,26.585820895522396,0.92,2026.12(E),,,통과,5,"K바이오,K이노베이션,K컬처,코리아밸류업,코스닥",8.59,2026-08-22
009150,삼성전기,1316000.0,,,,66.66,,,,,,,13.457776784217293,14.89,26.513765522117637,110.92740610971204,0.92,2026.12(E),,ROE<15%,통과,5,"Korea플러스배당,K신재생에너지,K이노베이션,코리아밸류업,코스피",4.16,2026-08-22
000660,SK하이닉스,1730000.0,,,,4.95,,,,,,,77.10948314926466,101.7,255.96052156172058,464.8559620220182,0.46,2026.12(E),,,통과,4,"Korea플러스배당,K신재생에너지,코리아밸류업,코스피",22.54,2026-08-22
003230,삼양식품,1366000.0,,,,18.22,,,,,,,23.416162972912467,37.31,32.95773450123309,39.67951163677985,0.39,2026.12(E),,,통과,4,"Korea플러스배당,K컬처,코리아밸류업,코스피",6.03,2026-08-22
005380,현대차,415000.0,,,,10.91,,,,,,,5.951493545076433,8.45,4.366069007728668,0.8807192249670859,3.37,2026.12(E),,ROE<15%,통과,4,"Korea플러스배당,K신재생에너지,코리아밸류업,코스피",4.36,2026-08-22
017670,SK텔레콤,102200.0,,,,16.36,,,,,,,11.10978999994338,10.04,3.290797230279785,82.83637718971302,3.1,2026.12(E),,ROE<15%,통과,4,"Korea플러스배당,K이노베이션,코리아밸류업,코스피",3.38,2026-08-22
034730,SK,586000.0,,,,3.55,,,,,,,8.328271896320029,39.04,19.957164966223395,574.0995325817983,3.12,2026.12(E),기저효과→PEG(영익)1y 산출불가,기저효과미보완,통과,4,"Korea플러스배당,K신재생에너지,코리아밸류업,코스피",3.28,2026-08-22
068270,셀트리온,192300.0,,,,28.59,,,,,,,33.54187762187183,8.83,32.862462462462474,58.7505348737698,0.41,2026.12(E),,ROE<15%,통과,3,"K바이오,K이노베이션,코스피",14.93,2026-08-22
006400,삼성SDI,478000.0,,,,57.98,,,,,,,2.028698042858757,3.05,20.08562792555797,,,2026.12(E),기저효과→PEG(영익)1y 산출불가,"ROE<15%,기저효과미보완",탈락,3,"K신재생에너지,K이노베이션,코스피",11.92,2026-08-22
196170,알테오젠,320000.0,,,,82.41,,,,,,,60.59633027522936,47.58,101.9453450671607,147.1468662301216,0.08,2026.12(E),,,통과,3,"K바이오,K이노베이션,코스닥",11.85,2026-08-22
009830,한화솔루션,32050.0,,,,19.84,,,,,,,4.476535897691856,3.49,35.240866715167506,,,2026.12(E),기저효과→PEG(영익)1y 산출불가,"ROE<15%,기저효과미보완",탈락,3,"K신재생에너지,K이노베이션,코스피",10.0,2026-08-22
402340,SK스퀘어,1123000.0,,,,3.43,,,,,,,477.8311217341136,94.3,-7.165538084854051,427.20349194080075,,2026.12(E),,,통과,3,"Korea플러스배당,코리아밸류업,코스피",9.05,2026-08-22
257720,실리콘투,47650.0,,,,12.99,,,,,,,18.36341008089608,43.44,43.957717459464305,43.670886075949376,0.79,2026.12(E),,,통과,3,"K컬처,코리아밸류업,코스닥",9.03,2026-08-22
373220,LG에너지솔루션,343500.0,,,,-209.09,,,,,,,2.5620570953213124,-1.88,36.09569192034403,-38.68211871331996,,2026.12(E),,ROE<15%,통과,3,"K신재생에너지,K이노베이션,코스피",8.45,2026-08-22
005490,POSCO홀딩스,310000.0,,,,13.16,,,,,,,4.210520592485058,3.32,6.473994462688282,69.5364238410596,3.28,2026.12(E),기저효과→PEG(영익)1y 산출불가,"ROE<15%,기저효과미보완",탈락,3,"K신재생에너지,K이노베이션,코스피",6.24,2026-08-22
226950,올릭스,98100.0,,,,,,,,,,,,,,,,2026.12(E),기저효과→PEG(영익)1y 산출불가,기저효과미보완,통과,3,"K바이오,K컬처,코스닥",6.04,2026-08-22
207940,삼성바이오로직스,1551000.0,,,,38.28,,,,,,,43.97008243708031,20.98,20.585911784068458,16.76976609317611,,2026.12(E),,,통과,3,"K바이오,K이노베이션,코스피",5.71,2026-08-22
005830,DB손해보험,177800.0,,,,,,,,,,,,,,,5.8,2026.12(E),,,통과,3,"Korea플러스배당,코리아밸류업,코스피",5.12,2026-08-22
105560,KB금융,164300.0,,,,8.93,,,,,,,,11.01,,10.609671624969174,3.5,2026.12(E),,ROE<15%,통과,3,"Korea플러스배당,코리아밸류업,코스피",4.35,2026-08-22
278470,에이피알,385000.0,,,,24.7,,,,,,,24.903068936058357,90.49,99.26667976167091,107.35978112175104,2.2,2026.12(E),,,통과,3,"K컬처,코리아밸류업,코스피",3.81,2026-08-22
055550,신한지주,104100.0,,,,8.36,,,,,,,,9.91,,15.086710140387849,3.37,2026.12(E),,ROE<15%,통과,3,"Korea플러스배당,코리아밸류업,코스피",3.76,2026-08-22
071050,한국금융지주,184500.0,,,,3.69,,,,,,,9.636316002572224,23.4,115.69292256795146,72.51524325246237,5.37,2026.12(E),,,통과,3,"Korea플러스배당,코리아밸류업,코스피",2.91,2026-08-22
010120,LS ELECTRIC,187000.0,,,,52.07,,,,,,,10.969673704414587,23.7,31.14704579322567,67.54221388367729,0.65,2026.12(E),,,통과,3,"K신재생에너지,K이노베이션,코스피",2.69,2026-08-22
033780,KT&G,172300.0,,,,13.73,,,,,,,21.934745277618774,14.25,6.205450096508969,14.073081789089837,4.22,2026.12(E),,ROE<15%,통과,3,"Korea플러스배당,코리아밸류업,코스피",1.5,2026-08-22
035420,NAVER,222000.0,,,,17.7,,,,,,,16.075843816843708,6.78,14.594931449937686,0.407590235949451,1.08,2026.12(E),,ROE<15%,통과,2,"K이노베이션,코스피",8.92,2026-08-22
145020,휴젤,245000.0,,,,17.41,,,,,,,40.74349442379182,16.81,26.558456833686183,9.109009457441509,,2026.12(E),,,통과,2,"K바이오,K컬처",8.3,2026-08-22
036570,NC,224500.0,,,,10.33,,,,,,,18.890132505325486,13.05,83.80118123299489,3149.6894409937886,0.57,2026.12(E),기저효과→PEG(영익)1y 산출불가,"ROE<15%,기저효과미보완",탈락,2,"K이노베이션,K컬처",7.88,2026-08-22
298380,에이비엘바이오,75200.0,,,,-59.98,,,,,,,-286.25954198473283,-52.23,-66.9609079445145,,,2026.12(E),기저효과→PEG(영익)1y 산출불가,"ROE<15%,기저효과미보완",탈락,2,"K바이오,코스닥",7.37,2026-08-22
004370,농심,432500.0,,,,12.67,,,,,,,6.1743180306054555,7.11,6.920297071963133,26.155519303969555,1.39,2026.12(E),,ROE<15%,통과,2,"Korea플러스배당,K컬처",5.22,2026-08-22
259960,크래프톤,222000.0,,,,11.03,,,,,,,30.088313399345367,12.59,46.02597246437805,38.61911987860394,0.91,2026.12(E),,ROE<15%,통과,2,"K이노베이션,K컬처",5.07,2026-08-22
141080,리가켐바이오,100000.0,,,,-44.37,,,,,,,-51.32881709223553,-16.85,35.522598870056484,,,2026.12(E),기저효과→PEG(영익)1y 산출불가,"ROE<15%,기저효과미보완",탈락,2,"K바이오,코스닥",4.23,2026-08-22
178320,서진시스템,36250.0,,,,188.49,,,,,,,4.842275545969264,1.66,73.91915971115071,8063.636363636364,,2026.12(E),기저효과→PEG(영익)1y 산출불가,"ROE<15%,기저효과미보완",탈락,2,"K이노베이션,코스닥",4.23,2026-08-22
