종목코드,기업,현재가,시총(억),네이버업종,순이익(E),영업이익(E),fPOR,fPER,fPER(사이트),PEG(매출)1y,PEG(영익)1y,PEG(매출)2y,PEG(영익)2y,PEG(매출)3y,PEG(영익)3y,영업이익률(E),ROE(E),매출증가율1y,영익증가율1y,배당수익률,추정연도,전년영업이익률,전년도,비고,보유ETF수,보유ETF,최대비중,섹터1,섹터2,종목명,유효PEG,Type,탈락조건,플래그,기준일
005930,삼성전자,281500.0,16457274.28152,반도체와반도체장비,3260396.0,3923449.0,4.194593655102946,5.047630496884428,5.85,0.041492442168507226,0.006310697829973741,0.08891400825026863,0.020498140474759913,0.12054175387305413,0.017349911283492208,53.059483246522554,56.2,121.6518053187908,799.8529850232792,1.39,2026.12(E),13.069612977468323,2025.12,,5,"Korea플러스배당,K신재생에너지,K이노베이션,코리아밸류업,코스피",28.87,반도체,메모리,삼성전자,0.020498140474759913,통과,,기저효과,2026-08-23
214450,파마리서치,400500.0,41610.54024,건강관리장비와용품,2231.0,2714.0,15.33181291083272,18.651071376064547,20.93,0.6294883309618263,0.7015420531628487,0.45584344430098445,0.39933067503023384,0.482949363122936,0.4311024681189418,39.03912543153049,28.54,29.62893902666417,26.585820895522396,0.92,2026.12(E),39.97762446391945,2025.12,,5,"K바이오,K이노베이션,K컬처,코리아밸류업,코스닥",8.59,바이오·헬스케어,미용의료·의료기기,파마리서치,0.7015420531628487,통과,,,2026-08-23
009150,삼성전기,1316000.0,982969.03936,전자장비와기기,15941.0,19264.0,51.02621674418605,61.662947077347724,66.66,2.3256955722079096,0.5558855943711546,3.440756560763115,0.9962740878220167,3.585592800019926,1.438184758928978,13.457776784217293,14.89,26.513765522117637,110.92740610971204,0.92,2026.12(E),8.071943081886076,2025.12,,5,"Korea플러스배당,K신재생에너지,K이노베이션,코리아밸류업,코스피",4.16,반도체,전자부품,삼성전기,0.5558855943711546,탈락,"PEG매출>1,fPER>30",,2026-08-23
000660,SK하이닉스,1730000.0,12637517.9145,반도체와반도체장비,2532488.0,2666476.0,4.739408085615621,4.990159050901722,4.95,0.019495815293916054,0.010734850058060264,0.0388144186644396,0.02104812274041294,0.041811282002359076,,77.10948314926466,101.7,255.96052156172058,464.8559620220182,0.46,2026.12(E),48.59279831430198,2025.12,,4,"Korea플러스배당,K신재생에너지,코리아밸류업,코스피",22.54,반도체,메모리,SK하이닉스,0.02104812274041294,통과,,기저효과,2026-08-23
003230,삼양식품,1366000.0,102900.9849,식품,5645.0,7322.0,14.053671797323135,18.228695287865367,18.22,0.5530930922203816,0.45939817643745323,0.5280700607698571,0.39829924019596175,0.48121391579667433,0.2582444125975652,23.416162972912467,37.31,32.95773450123309,39.67951163677985,0.39,2026.12(E),22.28931031550302,2025.12,,4,"Korea플러스배당,K컬처,코리아밸류업,코스피",6.03,소비재·식품,음식료,삼양식품,0.45939817643745323,통과,,,2026-08-23
005380,현대차,415000.0,849744.7289,자동차,111350.0,115689.0,7.345078001365731,7.631295275258195,10.91,1.7478640996625416,8.664844662092383,1.4333770451355439,,1.2472093100388844,,5.951493545076433,8.45,4.366069007728668,0.8807192249670859,3.37,2026.12(E),6.157112982505121,2025.12,,4,"Korea플러스배당,K신재생에너지,코리아밸류업,코스피",4.36,자동차,완성차,현대차,8.664844662092383,탈락,"PEG매출>1,PEG영익>1,ROE<10,이익률<10",비지배괴리,2026-08-23
017670,SK텔레콤,102200.0,219515.434166,무선통신서비스,13392.0,19622.0,11.187209976862706,16.391534809289126,16.36,4.981022427776722,0.1978784607123632,,4.3871296793818395,162.31568184172,4.284833852796125,11.10978999994338,10.04,3.290797230279785,82.83637718971302,3.1,2026.12(E),6.27631702067933,2025.12,,4,"Korea플러스배당,K이노베이션,코리아밸류업,코스피",3.38,인터넷·통신,통신,SK텔레콤,0.1978784607123632,탈락,PEG매출>1,,2026-08-23
034730,SK,586000.0,424865.83958,석유와가스,325257.0,122585.0,3.4658876663539586,1.306246566807171,3.55,0.06545251136711726,,0.14174494799642878,0.010351347559784821,0.28708959091470326,0.03518227679864986,8.328271896320029,39.04,19.957164966223395,574.0995325817983,3.12,2026.12(E),1.4820302306457935,2025.12,기저효과→PEG(영익)1y 산출불가,4,"Korea플러스배당,K신재생에너지,코리아밸류업,코스피",3.28,지주·소재,지주,SK,0.010351347559784821,탈락,"이익률<10,전년이익률<5","기저효과,비지배괴리",2026-08-23
068270,셀트리온,192300.0,447322.829448,제약,15911.0,18550.0,24.1144382451752,28.114061306517502,28.59,0.8555068366721182,0.4785328570526685,1.1388622061232339,0.298535523885461,0.7710894659202281,0.6736359273845268,33.54187762187183,8.83,32.862462462462474,58.7505348737698,0.41,2026.12(E),28.072072072072075,2025.12,,3,"K바이오,K이노베이션,코스피",14.93,바이오·헬스케어,바이오시밀러·CDMO,셀트리온,0.4785328570526685,탈락,ROE<10,,2026-08-23
006400,삼성SDI,478000.0,385198.8334,전기제품,8682.0,3232.0,119.18280736386139,44.367522851877446,57.98,2.208918885499316,,,,,,2.028698042858757,3.05,20.08562792555797,,,2026.12(E),-12.982881952557909,2025.12,기저효과→PEG(영익)1y 산출불가,3,"K신재생에너지,K이노베이션,코스피",11.92,2차전지·에너지,셀,삼성SDI,,탈락,"PEG매출>1,PEG영익>1,ROE<10,이익률<10,fPER>30,전년이익률<5",기저효과,2026-08-23
