종목코드,기업,현재가,시총(억),네이버업종,순이익(E),영업이익(E),fPOR,fPER,fPER(사이트),PEG(매출)1y,PEG(영익)1y,PEG(매출)2y,PEG(영익)2y,PEG(매출)3y,PEG(영익)3y,PEG(영익)fwd,영익증가율fwd,영업이익률(E),ROE(E),매출증가율1y,영익증가율1y,배당수익률,추정연도,전년영업이익률,전년도,비고,보유ETF수,보유ETF,최대비중,섹터1,섹터2,종목명,유효PEG,Type,탈락조건,플래그,기준일
005930,삼성전자,261500.0,15288018.55992,반도체와반도체장비,3260180.0,3917860.0,3.902134981831918,4.689317326012674,5.34,0.038639968002153115,0.005872134776957037,0.08275318677198135,0.019062148586892418,0.11215218158474076,0.016128599104637615,,,53.0539258667443,56.36,121.35924454573495,798.5711336895943,1.39,2026.12(E),13.069612977468323,2025.12,,5,"Korea플러스배당,K신재생에너지,K이노베이션,코리아밸류업,코스피",26.19,반도체,메모리,삼성전자,0.019062148586892418,통과,,기저효과(2y),2026-08-26
214450,파마리서치,442000.0,45922.24416,건강관리장비와용품,2231.0,2714.0,16.92050263817244,20.58370424025101,21.66,0.6947162104497558,0.7742361735280378,0.5030781582547693,0.4407095090221307,0.5329928052442889,0.47577351038345134,,,39.03912543153049,28.54,29.62893902666417,26.585820895522396,0.92,2026.12(E),39.97762446391945,2025.12,,5,"K바이오,K이노베이션,K컬처,코리아밸류업,코스닥",8.44,바이오·헬스케어,미용의료·의료기기,파마리서치,0.7742361735280378,통과,,,2026-08-26
009150,삼성전기,1330000.0,993426.1568,전자장비와기기,15996.0,19307.0,51.45419572175895,62.10466096524131,68.74,2.3353490860155626,0.5575013451892559,3.4582515722777902,1.0004916680628164,3.6061283346881003,1.4449071336306465,,,13.47934149713057,14.94,26.59330947014893,111.39822621263549,0.92,2026.12(E),8.071943081886076,2025.12,,5,"Korea플러스배당,K신재생에너지,K이노베이션,코리아밸류업,코스피",4.09,반도체,전자부품,삼성전기,0.5575013451892559,탈락,"PEG매출>1,fPER>30",,2026-08-26
000660,SK하이닉스,1688000.0,12330711.1212,반도체와반도체장비,2532488.0,2666476.0,4.624347311282757,4.869010680879831,4.8,0.019022506483312315,0.01047423520115938,0.037872103298019676,0.020537127853073437,0.04079621041617464,,,,77.10948314926466,101.7,255.96052156172058,464.8559620220182,0.46,2026.12(E),48.59279831430198,2025.12,,4,"Korea플러스배당,K신재생에너지,코리아밸류업,코스피",23.32,반도체,메모리,SK하이닉스,0.020537127853073437,통과,,기저효과(2y),2026-08-26
003230,삼양식품,1507000.0,113522.53605,식품,5645.0,7322.0,15.504307026768641,20.110280965456155,19.08,0.610183960451036,0.5068177539467364,0.582578024582851,0.43941211930842927,0.5308853375589957,0.2849006806621748,,,23.416162972912467,37.31,32.95773450123309,39.67951163677985,0.39,2026.12(E),22.28931031550302,2025.12,,4,"Korea플러스배당,K컬처,코리아밸류업,코스피",6.05,소비재·식품,음식료,삼양식품,0.5068177539467364,통과,,,2026-08-26
005380,현대차,408000.0,835411.68528,자동차,111157.0,115428.0,7.2375133007589145,7.515601224214399,11.09,1.7362902323407552,11.507097901090718,1.416685820817148,,1.230860104431951,,,,5.940202741299508,8.44,4.328539713134449,0.6531274252478569,3.37,2026.12(E),6.157112982505121,2025.12,,4,"Korea플러스배당,K신재생에너지,코리아밸류업,코스피",4.44,자동차,완성차,현대차,11.507097901090718,탈락,"PEG매출>1,PEG영익>1,ROE<10,이익률<10",비지배괴리,2026-08-26
017670,SK텔레콤,99600.0,213930.892788,무선통신서비스,13392.0,19622.0,10.902603852206706,15.974529031362007,15.83,4.854303657598449,0.19284437071380994,,4.275519726677409,158.18632007275258,4.17582633795004,,,11.10978999994338,10.04,3.290797230279785,82.83637718971302,3.1,2026.12(E),6.27631702067933,2025.12,,4,"Korea플러스배당,K이노베이션,코리아밸류업,코스피",3.46,인터넷·통신,통신,SK텔레콤,0.19284437071380994,탈락,PEG매출>1,,2026-08-26
034730,SK,554000.0,401664.97462,석유와가스,325257.0,122585.0,3.276624176041114,1.2349156962647998,3.37,0.06187831279416887,,0.13400460953928592,0.009786086259591792,0.2714123436292587,0.033261060318177514,,,8.328271896320029,39.04,19.957164966223395,574.0995325817983,3.12,2026.12(E),1.4820302306457935,2025.12,기저효과→PEG(영익)fwd 기준,4,"Korea플러스배당,K신재생에너지,코리아밸류업,코스피",3.21,지주·소재,지주,SK,0.009786086259591792,탈락,"이익률<10,전년이익률<5","기저효과(2y),비지배괴리",2026-08-26
006400,삼성SDI,516000.0,415821.3348,전기제품,9014.0,3364.0,123.60919583828776,46.13061180386066,62.32,2.292481973397805,,,,,,,,2.1109040366960965,3.08,20.122562506124364,,,2026.12(E),-12.982881952557909,2025.12,기저효과→PEG(영익)fwd 기준,3,"K신재생에너지,K이노베이션,코스피",14.03,2차전지·에너지,셀,삼성SDI,,탈락,"PEG매출>1,PEG산출불가,ROE<10,이익률<10,fPER>30,전년이익률<5",기저효과(2y),2026-08-26
068270,셀트리온,193400.0,449881.618384,제약,15911.0,18550.0,24.25237834954178,28.27488016994532,28.19,0.860400531525677,0.4812701744877072,1.1453767585243548,0.300243215389746,0.7755002740976189,0.6774892790232319,,,33.54187762187183,8.83,32.862462462462474,58.7505348737698,0.41,2026.12(E),28.072072072072075,2025.12,,3,"K바이오,K이노베이션,코스피",13.07,바이오·헬스케어,바이오시밀러·CDMO,셀트리온,0.4812701744877072,탈락,ROE<10,,2026-08-26
196170,알테오젠,311500.0,216975.739295,생물공학,2751.0,2642.0,82.1255636998486,78.87158825699746,78.68,0.7736654204764086,0.5360058985806122,0.7451771106446812,0.3544555900863192,1.2075045172869592,,,,60.59633027522936,47.58,101.9453450671607,147.1468662301216,0.08,2026.12(E),49.51366373320982,2025.12,,3,"K바이오,K이노베이션,코스닥",10.09,바이오·헬스케어,신약·플랫폼,알테오젠,0.5360058985806122,탈락,fPER>30,,2026-08-26
257720,실리콘투,51800.0,33968.498536,인터넷과카탈로그소매,2489.0,2951.0,11.510843285665876,13.647448186420249,14.08,0.3094585905037766,0.31250678455860853,0.25985041597187025,0.29383927252810155,0.20247890639279248,0.16354368752599568,,,18.345144846450328,43.6,44.10104810534803,43.670886075949376,0.79,2026.12(E),18.400071665322944,2025.12,,3,"K컬처,코리아밸류업,코스닥",10.0,화장품·뷰티,유통,실리콘투,0.31250678455860853,통과,,,2026-08-26
009830,한화솔루션,32900.0,73989.644344,에너지장비및서비스,3403.0,8072.0,9.166209656095143,21.742475563914194,20.03,0.6169676739124107,,1.0545147880314232,,1.9241761291617923,1.858425470256097,,,4.476535897691856,3.49,35.240866715167506,,,2026.12(E),-2.7360478808379147,2025.12,기저효과→PEG(영익)fwd 기준,3,"K신재생에너지,K이노베이션,코스피",9.27,2차전지·에너지,태양광,한화솔루션,,탈락,"PEG산출불가,ROE<10,이익률<10,전년이익률<5",기저효과(2y),2026-08-26
373220,LG에너지솔루션,351000.0,821340.0,전기제품,-4539.0,8254.0,99.508117276472,,-212.74,,,,,,,,,2.5620570953213124,-1.88,36.09569192034403,-38.68211871331996,,2026.12(E),5.686513066180011,2025.12,,3,"K신재생에너지,K이노베이션,코스피",8.33,2차전지·에너지,셀,LG에너지솔루션,,탈락,"PEG매출>1,PEG영익>1,ROE<10,이익률<10,fPER>30",,2026-08-26
402340,SK스퀘어,1058000.0,1395755.89884,반도체와반도체장비,429750.0,463802.0,3.009378784136334,3.247832225340314,3.24,,0.007602541380421063,0.1141120197103205,0.013313743901255344,0.05229373828628663,,,,477.8311217341136,94.3,-7.165538084854051,427.20349194080075,,2026.12(E),84.14055625693409,2025.12,,3,"Korea플러스배당,코리아밸류업,코스피",7.65,반도체,지주(하이닉스),SK스퀘어,0.013313743901255344,탈락,PEG매출>1,기저효과(2y),2026-08-26
005490,POSCO홀딩스,328000.0,259912.20856,철강,20884.0,30976.0,8.39076086518595,12.44551850986401,14.1,1.9223863383868411,,20.622065247718414,0.6422630488139229,,,,,4.210520592485058,3.32,6.473994462688282,69.5364238410596,3.28,2026.12(E),2.644334097017291,2025.12,기저효과→PEG(영익)fwd 기준,3,"K신재생에너지,K이노베이션,코스피",7.03,지주·소재,철강·비철,POSCO홀딩스,0.6422630488139229,탈락,"PEG매출>1,ROE<10,이익률<10,전년이익률<5",기저효과(2y),2026-08-26
207940,삼성바이오로직스,1599000.0,740192.30649,제약,18779.0,24162.0,30.63456280481748,39.41595966185633,39.12,1.914705555687873,2.3504179749946137,1.554703167495959,1.1190530324860297,2.7859178186362707,1.3381386171838463,,,43.97008243708031,20.98,20.585911784068458,16.76976609317611,,2026.12(E),45.40706605222734,2025.12,,3,"K바이오,K이노베이션,코스피",5.82,바이오·헬스케어,바이오시밀러·CDMO,삼성바이오로직스,2.3504179749946137,탈락,"PEG매출>1,PEG영익>1,fPER>30",,2026-08-26
226950,올릭스,99300.0,20915.41005,생명과학도구및서비스,,,,,,,,,,,,,,,,,,,2026.12(E),-204.08163265306123,2025.12,기저효과→PEG(영익)fwd 기준,3,"K바이오,K컬처,코스닥",5.72,바이오·헬스케어,신약·플랫폼,올릭스,,보류,컨센서스 없음,기저효과(2y),2026-08-26
278470,에이피알,442000.0,165476.6451,화장품,5894.0,7625.0,21.701855095081967,28.075440295215472,28.1,0.2788192988027998,0.2584779200982683,0.2650368185343772,0.1880649685389875,0.35005034966462045,0.2982179533057318,,,24.876027665405193,90.73,100.69403522556146,108.6183310533516,2.2,2026.12(E),23.93112027761409,2025.12,,3,"K컬처,코리아밸류업,코스피",5.37,화장품·뷰티,브랜드·디바이스,에이피알,0.2584779200982683,통과,,,2026-08-26
105560,KB금융,166600.0,590909.764844,은행,67266.0,94214.0,6.27199529628293,8.784672268962032,9.05,,0.827987196916432,,1.0693733981788678,,0.6344507470440857,,,,11.01,,10.609671624969174,3.5,2026.12(E),10.4858138610156,2025.12,,3,"Korea플러스배당,코리아밸류업,코스피",4.57,금융,은행,KB금융,0.827987196916432,금융,영업이익·PEG 기준 부적합(별도 판단),,2026-08-26
055550,신한지주,107400.0,504189.556686,은행,59921.0,80830.0,6.237653800395893,8.414238024832697,8.56,,0.5577251731182518,,0.7088644198531944,,0.8558077588270688,,,,9.91,,15.086710140387849,3.37,2026.12(E),10.858353173989672,2025.12,,3,"Korea플러스배당,코리아밸류업,코스피",4.0,금융,은행,신한지주,0.5577251731182518,금융,영업이익·PEG 기준 부적합(별도 판단),,2026-08-26
005830,DB손해보험,186700.0,122289.151583,손해보험,20510.0,,,5.962415971867382,,,,,,,,,,,,,,5.8,2026.12(E),10.343675562632605,2025.12,,3,"Korea플러스배당,코리아밸류업,코스피",3.51,금융,보험,DB손해보험,,금융,영업이익·PEG 기준 부적합(별도 판단),,2026-08-26
071050,한국금융지주,191200.0,106548.096704,증권,30964.0,40460.0,2.6334181093425606,3.441031414029195,3.83,0.029742799625518394,0.047452525285603994,0.06706428523509195,0.04113903858268469,0.13137220969884894,0.04900645539720224,,,9.636316002572224,23.4,115.69292256795146,72.51524325246237,5.37,2026.12(E),12.048124688561138,2025.12,,3,"Korea플러스배당,코리아밸류업,코스피",2.98,금융,증권,한국금융지주,0.047452525285603994,금융,영업이익·PEG 기준 부적합(별도 판단),,2026-08-26
078930,GS,127700.0,118627.547115,석유와가스,29876.0,51701.0,2.294492313785033,3.9706636469072163,4.58,0.2875807843957093,0.05218561116241844,0.6070313101739387,0.1340540157014878,1.192319769263642,0.34292315331630746,,,18.038609553648996,15.93,13.807124336386845,76.08732672592895,5.33,2026.12(E),11.658546463840281,2025.12,,3,"Korea플러스배당,코리아밸류업,코스피",2.77,지주·소재,지주,GS,0.05218561116241844,통과,,,2026-08-26
010120,LS ELECTRIC,201500.0,302250.0,전기장비,5337.0,7140.0,42.331932773109244,56.63293985385048,54.46,1.8128527862196269,0.839648315496587,2.88115821872291,1.601701247836492,3.6554788538422187,1.8870212587483666,,,10.955793220911142,23.68,31.23967940714487,67.44840525328331,0.65,2026.12(E),8.586733255467397,2025.12,,3,"K신재생에너지,K이노베이션,코스피",2.66,AI·전력인프라,변압기·전력기기,LS ELECTRIC,0.839648315496587,탈락,"PEG매출>1,fPER>30",,2026-08-26
