종목코드,기업,비고,보유ETF수,보유ETF,최대비중,섹터1,섹터2,종목명,유효PEG,Type,탈락조건,플래그,기준일
214450,파마리서치,실패: 기업실적분석 표 없음,5,"K바이오,K이노베이션,K컬처,코리아밸류업,코스닥",10.33,바이오·헬스케어,미용의료·의료기기,파마리서치,,보류,컨센서스 없음,,2026-09-11
009150,삼성전기,실패: 기업실적분석 표 없음,5,"Korea플러스배당,K신재생에너지,K이노베이션,코리아밸류업,코스피",4.12,반도체,전자부품,삼성전기,,보류,컨센서스 없음,,2026-09-11
005930,삼성전자,실패: 기업실적분석 표 없음,4,"Korea플러스배당,K신재생에너지,코리아밸류업,코스피",27.25,반도체,메모리,삼성전자,,보류,컨센서스 없음,,2026-09-11
000660,SK하이닉스,실패: 기업실적분석 표 없음,4,"Korea플러스배당,K신재생에너지,코리아밸류업,코스피",24.93,반도체,메모리,SK하이닉스,,보류,컨센서스 없음,,2026-09-11
006400,삼성SDI,실패: 기업실적분석 표 없음,4,"K신재생에너지,K이노베이션,코리아밸류업,코스피",15.7,2차전지·에너지,셀,삼성SDI,,보류,컨센서스 없음,,2026-09-11
005380,현대차,실패: 기업실적분석 표 없음,4,"Korea플러스배당,K신재생에너지,코리아밸류업,코스피",4.01,자동차,완성차,현대차,,보류,컨센서스 없음,,2026-09-11
034730,SK,실패: 기업실적분석 표 없음,4,"Korea플러스배당,K신재생에너지,코리아밸류업,코스피",3.44,지주·소재,지주,SK,,보류,컨센서스 없음,,2026-09-11
003230,삼양식품,실패: 기업실적분석 표 없음,4,"Korea플러스배당,K컬처,코리아밸류업,코스피",3.27,소비재·식품,음식료,삼양식품,,보류,컨센서스 없음,,2026-09-11
017670,SK텔레콤,실패: 기업실적분석 표 없음,4,"Korea플러스배당,K이노베이션,코리아밸류업,코스피",3.08,인터넷·통신,통신,SK텔레콤,,보류,컨센서스 없음,,2026-09-11
078930,GS,실패: 기업실적분석 표 없음,4,"Korea플러스배당,K신재생에너지,코리아밸류업,코스피",2.51,지주·소재,지주,GS,,보류,컨센서스 없음,,2026-09-11
196170,알테오젠,실패: 기업실적분석 표 없음,3,"K바이오,K이노베이션,코스닥",9.58,바이오·헬스케어,신약·플랫폼,알테오젠,,보류,컨센서스 없음,,2026-09-11
068270,셀트리온,실패: 기업실적분석 표 없음,3,"K바이오,K이노베이션,코스피",8.94,바이오·헬스케어,바이오시밀러·CDMO,셀트리온,,보류,컨센서스 없음,,2026-09-11
373220,LG에너지솔루션,실패: 기업실적분석 표 없음,3,"K신재생에너지,K이노베이션,코스피",8.94,2차전지·에너지,셀,LG에너지솔루션,,보류,컨센서스 없음,,2026-09-11
128940,한미약품,실패: 기업실적분석 표 없음,3,"K바이오,K이노베이션,코리아밸류업",8.86,바이오·헬스케어,제약,한미약품,,보류,컨센서스 없음,,2026-09-11
005490,POSCO홀딩스,실패: 기업실적분석 표 없음,3,"K신재생에너지,K이노베이션,코스피",8.43,지주·소재,철강·비철,POSCO홀딩스,,보류,컨센서스 없음,,2026-09-11
226950,올릭스,실패: 기업실적분석 표 없음,3,"K바이오,K컬처,코스닥",8.03,바이오·헬스케어,신약·플랫폼,올릭스,,보류,컨센서스 없음,,2026-09-11
207940,삼성바이오로직스,실패: 기업실적분석 표 없음,3,"K바이오,K이노베이션,코스피",7.91,바이오·헬스케어,바이오시밀러·CDMO,삼성바이오로직스,,보류,컨센서스 없음,,2026-09-11
402340,SK스퀘어,실패: 기업실적분석 표 없음,3,"Korea플러스배당,코리아밸류업,코스피",6.39,반도체,지주(하이닉스),SK스퀘어,,보류,컨센서스 없음,,2026-09-11
105560,KB금융,실패: 기업실적분석 표 없음,3,"Korea플러스배당,코리아밸류업,코스피",4.68,금융,은행,KB금융,,금융,영업이익·PEG 기준 부적합(별도 판단),,2026-09-11
055550,신한지주,실패: 기업실적분석 표 없음,3,"Korea플러스배당,코리아밸류업,코스피",4.53,금융,은행,신한지주,,금융,영업이익·PEG 기준 부적합(별도 판단),,2026-09-11
062040,산일전기,실패: 기업실적분석 표 없음,3,"K이노베이션,코리아밸류업,코스피",3.82,미분류,-,산일전기,,보류,컨센서스 없음,,2026-09-11
278470,에이피알,실패: 기업실적분석 표 없음,3,"K컬처,코리아밸류업,코스피",3.74,화장품·뷰티,브랜드·디바이스,에이피알,,보류,컨센서스 없음,,2026-09-11
010120,LS ELECTRIC,실패: 기업실적분석 표 없음,3,"K신재생에너지,K이노베이션,코스피",2.75,AI·전력인프라,변압기·전력기기,LS ELECTRIC,,보류,컨센서스 없음,,2026-09-11
000810,삼성화재,실패: 기업실적분석 표 없음,3,"Korea플러스배당,코리아밸류업,코스피",1.24,금융,보험,삼성화재,,금융,영업이익·PEG 기준 부적합(별도 판단),,2026-09-11
066970,엘앤에프,실패: 기업실적분석 표 없음,3,"K신재생에너지,K이노베이션,코스피",0.97,미분류,-,엘앤에프,,보류,컨센서스 없음,,2026-09-11
033780,KT&G,실패: 기업실적분석 표 없음,3,"Korea플러스배당,코리아밸류업,코스피",0.91,소비재·식품,담배·기호,KT&G,,보류,컨센서스 없음,,2026-09-11
259960,크래프톤,실패: 기업실적분석 표 없음,2,"K이노베이션,K컬처",9.34,엔터·게임·콘텐츠,게임,크래프톤,,보류,컨센서스 없음,,2026-09-11
036570,NC,실패: 기업실적분석 표 없음,2,"K이노베이션,K컬처",8.94,엔터·게임·콘텐츠,게임,NC,,보류,컨센서스 없음,,2026-09-11
035420,NAVER,실패: 기업실적분석 표 없음,2,"K이노베이션,코스피",8.78,인터넷·통신,플랫폼,NAVER,,보류,컨센서스 없음,,2026-09-11
009830,한화솔루션,실패: 기업실적분석 표 없음,2,"K신재생에너지,K이노베이션",8.48,2차전지·에너지,태양광,한화솔루션,,보류,컨센서스 없음,,2026-09-11
298380,에이비엘바이오,실패: 기업실적분석 표 없음,2,"K바이오,코스닥",8.35,바이오·헬스케어,신약·플랫폼,에이비엘바이오,,보류,컨센서스 없음,,2026-09-11
145020,휴젤,실패: 기업실적분석 표 없음,2,"K바이오,K컬처",7.26,바이오·헬스케어,미용의료·의료기기,휴젤,,보류,컨센서스 없음,,2026-09-11
141080,리가켐바이오,실패: 기업실적분석 표 없음,2,"K바이오,코스닥",6.37,바이오·헬스케어,신약·플랫폼,리가켐바이오,,보류,컨센서스 없음,,2026-09-11
095610,테스,실패: 기업실적분석 표 없음,2,"코리아밸류업,코스닥",5.19,반도체,전공정 장비,테스,,보류,컨센서스 없음,,2026-09-11
138040,메리츠금융지주,실패: 기업실적분석 표 없음,2,"Korea플러스배당,코스피",4.33,금융,보험,메리츠금융지주,,금융,영업이익·PEG 기준 부적합(별도 판단),,2026-09-11
086790,하나금융지주,실패: 기업실적분석 표 없음,2,"Korea플러스배당,코리아밸류업",3.7,금융,은행,하나금융지주,,금융,영업이익·PEG 기준 부적합(별도 판단),,2026-09-11
476830,알지노믹스,실패: 기업실적분석 표 없음,2,"K바이오,코스닥",3.59,바이오·헬스케어,신약·플랫폼,알지노믹스,,보류,컨센서스 없음,,2026-09-11
005830,DB손해보험,실패: 기업실적분석 표 없음,2,"Korea플러스배당,코리아밸류업",3.55,금융,보험,DB손해보험,,금융,영업이익·PEG 기준 부적합(별도 판단),,2026-09-11
316140,우리금융지주,실패: 기업실적분석 표 없음,2,"Korea플러스배당,코리아밸류업",3.42,금융,은행,우리금융지주,,금융,영업이익·PEG 기준 부적합(별도 판단),,2026-09-11
240810,원익IPS,실패: 기업실적분석 표 없음,2,"K신재생에너지,코스닥",3.35,반도체,전공정 장비,원익IPS,,보류,컨센서스 없음,,2026-09-11
310210,보로노이,실패: 기업실적분석 표 없음,2,"K바이오,코스닥",3.17,바이오·헬스케어,신약·플랫폼,보로노이,,보류,컨센서스 없음,,2026-09-11
004370,농심,실패: 기업실적분석 표 없음,2,"Korea플러스배당,K컬처",3.12,소비재·식품,음식료,농심,,보류,컨센서스 없음,,2026-09-11
012450,한화에어로스페이스,실패: 기업실적분석 표 없음,2,"코리아밸류업,코스피",3.12,조선·방산·우주,방산,한화에어로스페이스,,보류,컨센서스 없음,,2026-09-11
257720,실리콘투,실패: 기업실적분석 표 없음,2,"K컬처,코스닥",3.03,화장품·뷰티,유통,실리콘투,,보류,컨센서스 없음,,2026-09-11
032830,삼성생명,실패: 기업실적분석 표 없음,2,"Korea플러스배당,코스피",2.58,금융,보험,삼성생명,,금융,영업이익·PEG 기준 부적합(별도 판단),,2026-09-11
012330,현대모비스,실패: 기업실적분석 표 없음,2,"K신재생에너지,코리아밸류업",2.44,자동차,부품,현대모비스,,보류,컨센서스 없음,,2026-09-11
347850,디앤디파마텍,실패: 기업실적분석 표 없음,2,"K바이오,코스닥",2.38,바이오·헬스케어,신약·플랫폼,디앤디파마텍,,보류,컨센서스 없음,,2026-09-11
001040,CJ,실패: 기업실적분석 표 없음,2,"Korea플러스배당,K컬처",2.05,지주·소재,지주,CJ,,보류,컨센서스 없음,,2026-09-11
