종목코드,기업,현재가,시총(억),네이버업종,비고,보유ETF수,보유ETF,최대비중,섹터1,섹터2,종목명,유효PEG,Type,탈락조건,플래그,기준일
214450,파마리서치,342000.0,35533.0,,컨센서스 없음 → 산출불가,5,"K바이오,K이노베이션,K컬처,코리아밸류업,코스닥",10.33,바이오·헬스케어,미용의료·의료기기,파마리서치,,보류,컨센서스 없음,,2026-09-13
009150,삼성전기,1400000.0,1045712.0,,컨센서스 없음 → 산출불가,5,"Korea플러스배당,K신재생에너지,K이노베이션,코리아밸류업,코스피",4.12,반도체,전자부품,삼성전기,,보류,컨센서스 없음,,2026-09-13
005930,삼성전자,259500.0,15171093.0,,컨센서스 없음 → 산출불가,4,"Korea플러스배당,K신재생에너지,코리아밸류업,코스피",27.25,반도체,메모리,삼성전자,,보류,컨센서스 없음,,2026-09-13
000660,SK하이닉스,1812000.0,13236522.0,,컨센서스 없음 → 산출불가,4,"Korea플러스배당,K신재생에너지,코리아밸류업,코스피",24.93,반도체,메모리,SK하이닉스,,보류,컨센서스 없음,,2026-09-13
006400,삼성SDI,545000.0,439191.0,,컨센서스 없음 → 산출불가,4,"K신재생에너지,K이노베이션,코리아밸류업,코스피",15.7,2차전지·에너지,셀,삼성SDI,,보류,컨센서스 없음,,2026-09-13
005380,현대차,382500.0,783198.0,,컨센서스 없음 → 산출불가,4,"Korea플러스배당,K신재생에너지,코리아밸류업,코스피",4.01,자동차,완성차,현대차,,보류,컨센서스 없음,,2026-09-13
034730,SK,585000.0,424141.0,,컨센서스 없음 → 산출불가,4,"Korea플러스배당,K신재생에너지,코리아밸류업,코스피",3.44,지주·소재,지주,SK,,보류,컨센서스 없음,,2026-09-13
003230,삼양식품,1278000.0,96272.0,,컨센서스 없음 → 산출불가,4,"Korea플러스배당,K컬처,코리아밸류업,코스피",3.27,소비재·식품,음식료,삼양식품,,보류,컨센서스 없음,,2026-09-13
017670,SK텔레콤,90900.0,195244.0,,컨센서스 없음 → 산출불가,4,"Korea플러스배당,K이노베이션,코리아밸류업,코스피",3.08,인터넷·통신,통신,SK텔레콤,,보류,컨센서스 없음,,2026-09-13
078930,GS,119000.0,110546.0,,컨센서스 없음 → 산출불가,4,"Korea플러스배당,K신재생에너지,코리아밸류업,코스피",2.51,지주·소재,지주,GS,,보류,컨센서스 없음,,2026-09-13
