종목코드,현재가,시총(억),네이버업종,배당수익률(사이트),52주고가,52주저가,추정PER(사이트),목표주가,외인비율,기업,순이익(E),당기순이익(E),영업이익(E),fPOR,fPER,fPER(사이트),PEG(매출)1y,PEG(영익)1y,PEG(매출)2y,PEG(영익)2y,PEG(매출)3y,PEG(영익)3y,영업이익률(E),ROE(E),부채비율,매출증가율1y,영익증가율1y,배당수익률,괴리율(목표주가),추정연도,전년영업이익률,전년도,비고,보유ETF수,보유ETF,최대비중,섹터1,섹터2,종목명,유효PEG,Type,탈락조건,플래그,기준일
009150,1351000.0,1035255.0,282,0.17,2417000.0,188600.0,69.77,2350500.0,37.52,삼성전기,16054.0,16054.0,19468.0,53.1772652558044,64.48579793197958,66.95,2.410627286157806,0.5698585317007929,3.5762519545984444,1.027686655586559,3.7338664280644425,1.4865978293934115,13.574875184782305,14.96,48.98,26.750629722921904,113.1610642724187,0.17,73.9822353811991,2026.12(E),8.071943081886076,2025.12,순이익=당기순이익 대체;,5,"Korea플러스배당,K신재생에너지,K이노베이션,코리아밸류업,코스피",4.07,반도체,전자부품,삼성전기,0.5698585317007929,탈락,"PEG매출>1,fPER>30",,2026-09-18
005930,256000.0,15200324.0,278,0.64,380000.0,79600.0,5.42,487045.0,46.48,삼성전자,3238863.0,3238863.0,3877836.0,3.919795473557933,4.693104956893824,5.27,0.038888866882922514,0.005945233663420519,0.08317314866804625,0.01921595207658652,0.11263396084643766,0.016216093151863575,52.673589774099796,56.17,29.94,120.67991003756227,789.389487879893,0.64,90.251953125,2026.12(E),13.069642952957366,2025.12,순이익=당기순이익 대체;,4,"Korea플러스배당,K신재생에너지,코리아밸류업,코스피",26.2,반도체,메모리,삼성전자,0.01921595207658652,통과,,기저효과,2026-09-18
000660,1766000.0,13448364.0,278,0.16,3002000.0,333000.0,5.28,3305652.0,50.1,SK하이닉스,2526171.0,2526171.0,2649257.0,5.07627761293072,5.323615859733961,5.0,0.020956775010345933,0.011542756748335669,0.04160914481530527,0.02255834470540972,0.04475432337613706,,77.02965368512902,101.97,45.95,254.02839211213558,461.20835566439223,0.16,87.18301245753115,2026.12(E),48.59279831430198,2025.12,순이익=당기순이익 대체;,4,"Korea플러스배당,K신재생에너지,코리아밸류업,코스피",23.98,반도체,메모리,SK하이닉스,0.02255834470540972,통과,,기저효과,2026-09-18
006400,545000.0,436774.0,283,,820000.0,200500.0,55.87,704842.0,25.64,삼성SDI,9919.0,9919.0,3895.0,112.13709884467266,44.03407601572739,55.56,2.1987537215471047,,,12.42823086990448,,,2.4460549122057826,3.56,79.27,20.026834103431913,,,29.328807339449536,2026.12(E),-12.982881952557909,2025.12,순이익=당기순이익 대체;기저효과→PEG(영익)1y 산출불가,4,"K신재생에너지,K이노베이션,코리아밸류업,코스피",13.56,2차전지·에너지,셀,삼성SDI,12.42823086990448,탈락,"PEG매출>1,PEG영익>1,ROE<10,이익률<10,fPER>30,전년이익률<5",기저효과,2026-09-18
214450,331000.0,33818.0,281,1.14,621000.0,254500.0,16.97,518750.0,12.55,파마리서치,2235.0,2235.0,2717.0,12.446816341553184,15.13109619686801,17.18,0.5030878419330636,0.5661617843993895,0.3676294998881607,0.3234046001219778,0.3901935671292594,0.3493154088959382,38.94782110091743,28.59,44.21,30.076449748275213,26.725746268656714,1.14,56.722054380664645,2026.12(E),39.97762446391945,2025.12,순이익=당기순이익 대체;,4,"K바이오,K컬처,코리아밸류업,코스닥",7.98,바이오·헬스케어,미용의료·의료기기,파마리서치,0.5661617843993895,통과,,,2026-09-18
005380,364500.0,749413.0,273,2.73,787000.0,211000.0,9.71,697600.0,24.37,현대차,109997.0,109997.0,113966.0,6.575759437025078,6.813031264489031,9.63,1.700764943040264,,1.3249552851664483,,1.1361735090484881,,5.883160674721085,8.35,188.95,4.005862945593264,-0.621735452872807,2.73,91.38545953360769,2026.12(E),6.157112982505121,2025.12,순이익=당기순이익 대체;,4,"Korea플러스배당,K신재생에너지,코리아밸류업,코스피",3.89,자동차,완성차,현대차,,탈락,"PEG매출>1,PEG영익>1,ROE<10,이익률<10",,2026-09-18
034730,546000.0,398040.0,313,1.46,920000.0,203500.0,3.62,845667.0,30.29,SK,319738.0,319738.0,115600.0,3.4432525951557094,1.2448942571730603,3.56,0.0602393891796476,,0.1305251753142224,0.01040427594200049,0.261783971192254,0.036112869467815334,7.80759808970498,35.43,149.17,20.665784864791735,535.6887544679681,1.46,54.88406593406594,2026.12(E),1.4820302306457935,2025.12,순이익=당기순이익 대체;기저효과→PEG(영익)1y 산출불가,4,"Korea플러스배당,K신재생에너지,코리아밸류업,코스피",3.14,지주·소재,지주,SK,0.01040427594200049,탈락,"이익률<10,전년이익률<5","기저효과,PER괴리",2026-09-18
003230,1289000.0,97553.0,268,0.37,1587000.0,981000.0,17.24,1864615.0,18.5,삼양식품,5659.0,5659.0,7338.0,13.294221858817117,17.238558049125288,17.15,0.513445299137954,0.4311284412858529,0.49492000823538207,0.3753591061870404,0.4525334380186439,0.2437883885349718,23.359011905519832,37.36,72.74,33.57428352751084,39.98473864937046,0.37,44.65593483320403,2026.12(E),22.28931031550302,2025.12,순이익=당기순이익 대체;,4,"Korea플러스배당,K컬처,코리아밸류업,코스피",2.04,소비재·식품,음식료,삼양식품,0.4311284412858529,통과,,,2026-09-18
226950,112800.0,25412.0,262,,225500.0,84000.0,,,9.17,올릭스,,,,,,,,,,,,,,,30.18,,,,,2026.12(E),-204.08163265306123,2025.12,순이익=당기순이익 대체;기저효과→PEG(영익)1y 산출불가,3,"K바이오,K컬처,코스닥",10.9,바이오·헬스케어,신약·플랫폼,올릭스,,보류,컨센서스 없음,기저효과,2026-09-18
128940,515000.0,64567.0,261,0.4,648000.0,302000.0,24.56,668333.0,12.79,한미약품,2845.0,2845.0,3665.0,17.61718963165075,22.694903339191566,25.1,1.6550595154287913,0.5382471095532276,2.678144936467716,0.7515005888900173,3.994913787974613,1.2321008700580112,20.827413763709725,19.06,50.23,13.7124394184168,42.16446858029481,0.4,29.773398058252432,2026.12(E),16.65912762520194,2025.12,순이익=당기순이익 대체;,3,"K바이오,K이노베이션,코리아밸류업",10.67,바이오·헬스케어,제약,한미약품,0.5382471095532276,탈락,PEG매출>1,,2026-09-18
005490,328000.0,257535.0,304,3.08,542000.0,257000.0,13.75,507053.0,32.44,POSCO홀딩스,20974.0,20974.0,30929.0,8.326651362798668,12.278773719843615,13.81,1.8644119158229258,,18.707818601551267,0.6366346217956868,,,4.199719194953113,3.33,68.64,6.585869579375614,69.2791855946582,3.08,54.58932926829267,2026.12(E),2.644334097017291,2025.12,순이익=당기순이익 대체;기저효과→PEG(영익)1y 산출불가,3,"K신재생에너지,K이노베이션,코스피",10.38,지주·소재,철강·비철,POSCO홀딩스,0.6366346217956868,탈락,"PEG매출>1,ROE<10,이익률<10,전년이익률<5",기저효과,2026-09-18
373220,367000.0,851760.0,283,,527000.0,290500.0,-274.72,519667.0,5.53,LG에너지솔루션,-5254.0,-5254.0,8408.0,101.3035204567079,,-275.56,,,,,,,2.602193666592389,-1.5,129.0,36.49659088028794,-37.53807295148949,,41.598637602179835,2026.12(E),5.686513066180011,2025.12,순이익=당기순이익 대체;,3,"K신재생에너지,K이노베이션,코스피",9.72,2차전지·에너지,셀,LG에너지솔루션,,탈락,"PEG매출>1,PEG영익>1,ROE<10,이익률<10,fPER>30",,2026-09-18
