종목코드,종목명,보유ETF수,보유ETF,최대비중
214450,파마리서치,5,"K바이오,K이노베이션,K컬처,코리아밸류업,코스닥",9.01
009150,삼성전기,5,"Korea플러스배당,K신재생에너지,K이노베이션,코리아밸류업,코스피",4.02
005930,삼성전자,4,"Korea플러스배당,K신재생에너지,코리아밸류업,코스피",26.14
000660,SK하이닉스,4,"Korea플러스배당,K신재생에너지,코리아밸류업,코스피",23.54
006400,삼성SDI,4,"K신재생에너지,K이노베이션,코리아밸류업,코스피",13.6
005380,현대차,4,"Korea플러스배당,K신재생에너지,코리아밸류업,코스피",3.93
003230,삼양식품,4,"Korea플러스배당,K컬처,코리아밸류업,코스피",3.27
034730,SK,4,"Korea플러스배당,K신재생에너지,코리아밸류업,코스피",3.22
078930,GS,4,"Korea플러스배당,K신재생에너지,코리아밸류업,코스피",2.55
373220,LG에너지솔루션,3,"K신재생에너지,K이노베이션,코스피",9.61
005490,POSCO홀딩스,3,"K신재생에너지,K이노베이션,코스피",9.4
128940,한미약품,3,"K바이오,K이노베이션,코리아밸류업",9.37
196170,알테오젠,3,"K바이오,K이노베이션,코스닥",9.23
068270,셀트리온,3,"K바이오,K이노베이션,코스피",9.0
226950,올릭스,3,"K바이오,K컬처,코스닥",8.95
207940,삼성바이오로직스,3,"K바이오,K이노베이션,코스피",8.03
402340,SK스퀘어,3,"Korea플러스배당,코리아밸류업,코스피",5.96
105560,KB금융,3,"Korea플러스배당,코리아밸류업,코스피",5.01
055550,신한지주,3,"Korea플러스배당,코리아밸류업,코스피",4.88
278470,에이피알,3,"K컬처,코리아밸류업,코스피",3.7
010120,LS ELECTRIC,3,"K신재생에너지,K이노베이션,코스피",2.69
062040,산일전기,3,"K이노베이션,코리아밸류업,코스피",2.37
000810,삼성화재,3,"Korea플러스배당,코리아밸류업,코스피",1.65
066970,엘앤에프,3,"K신재생에너지,K이노베이션,코스피",1.25
033780,KT&G,3,"Korea플러스배당,코리아밸류업,코스피",0.97
036570,NC,2,"K이노베이션,K컬처",8.9
035420,NAVER,2,"K이노베이션,코스피",8.89
259960,크래프톤,2,"K이노베이션,K컬처",7.47
145020,휴젤,2,"K바이오,K컬처",7.15
298380,에이비엘바이오,2,"K바이오,코스닥",6.88
141080,리가켐바이오,2,"K바이오,코스닥",6.25
095610,테스,2,"코리아밸류업,코스닥",4.6
138040,메리츠금융지주,2,"Korea플러스배당,코스피",4.49
086790,하나금융지주,2,"Korea플러스배당,코리아밸류업",3.98
257720,실리콘투,2,"K컬처,코스닥",3.97
316140,우리금융지주,2,"Korea플러스배당,코리아밸류업",3.82
009540,HD한국조선해양,2,"K신재생에너지,코리아밸류업",3.79
005830,DB손해보험,2,"Korea플러스배당,코리아밸류업",3.75
241710,코스메카코리아,2,"K컬처,코리아밸류업",3.62
476830,알지노믹스,2,"K바이오,코스닥",3.55
131290,티에스이,2,"코리아밸류업,코스닥",3.32
012450,한화에어로스페이스,2,"코리아밸류업,코스피",3.28
240810,원익IPS,2,"K신재생에너지,코스닥",3.18
310210,보로노이,2,"K바이오,코스닥",3.14
