ETF,종목코드,종목명,수량,비중,기준일
글로벌휴머노이드로봇,NVDA,NVIDIA Corp,121,10.09,2026-09-18
글로벌휴머노이드로봇,TSLA,Tesla Inc,56,7.81,2026-09-18
글로벌휴머노이드로봇,TER,Teradyne Inc,49,6.51,2026-09-18
글로벌휴머노이드로봇,HSAI,Hesai Group,167,1.09,2026-09-18
미국나스닥100,NVDA,NVIDIA Corp,227,7.45,2026-09-18
미국나스닥100,BE,Bloom Energy Corp,148,6.14,2026-09-18
미국나스닥100,DELL,Dell Technologies Inc,69,5.97,2026-09-18
미국나스닥100,SNDK,Sandisk Corp,20,4.67,2026-09-18
미국나스닥100,SKHY,SK hynix Inc,143,3.84,2026-09-18
미국나스닥100,INTC,Intel Corp,241,3.74,2026-09-18
미국나스닥100,MSFT,Microsoft Corp,45,3.39,2026-09-18
미국나스닥100,AMD,Advanced Micro Devices Inc,41,3.23,2026-09-18
미국나스닥100,LITE,Lumentum Holdings Inc,22,3.11,2026-09-18
미국나스닥100,SPCX,Space Exploration Technologies Corp,114,2.64,2026-09-18
미국나스닥100,GOOGL,Alphabet Inc,50,2.63,2026-09-18
미국나스닥100,HOOD,Robinhood Markets Inc,162,2.6,2026-09-18
미국나스닥100,MRVL,Marvell Technology Inc,73,2.57,2026-09-18
미국나스닥100,TSLA,Tesla Inc,46,2.53,2026-09-18
미국나스닥100,NBIS,Nebius Group NV,77,2.48,2026-09-18
미국나스닥100,AMZN,Amazon.com Inc,65,2.45,2026-09-18
미국나스닥100,SNOW,Snowflake Inc,48,2.44,2026-09-18
미국나스닥100,MU,Micron Technology Inc,16,2.28,2026-09-18
미국나스닥100,COIN,Coinbase Global Inc,89,2.25,2026-09-18
미국나스닥100,CRWV,CoreWeave Inc,156,2.0,2026-09-18
미국나스닥100,PLTR,Palantir Technologies Inc,74,1.98,2026-09-18
미국나스닥100,QCOM,QUALCOMM Inc,68,1.93,2026-09-18
미국나스닥100,TER,Teradyne Inc,35,1.83,2026-09-18
미국나스닥100,MSTR,Strategy Inc,83,1.61,2026-09-18
미국나스닥100,AAOI,Applied Optoelectronics Inc,106,1.57,2026-09-18
미국나스닥100,META,Meta Platforms Inc,15,1.55,2026-09-18
미국나스닥100,AAPL,Apple Inc,30,1.53,2026-09-18
미국나스닥100,VRT,Vertiv Holdings Co,40,1.47,2026-09-18
미국나스닥100,AVGO,Broadcom Inc,28,1.46,2026-09-18
미국나스닥100,TSEM,Tower Semiconductor Ltd,45,1.4,2026-09-18
미국나스닥100,PANW,Palo Alto Networks Inc,24,1.38,2026-09-18
미국나스닥100,STX,Seagate Technology Holdings PLC,11,1.32,2026-09-18
미국나스닥100,ALAB,Astera Labs Inc,31,1.28,2026-09-18
미국나스닥100,WDC,Western Digital Corp,19,1.22,2026-09-18
미국나스닥100,CRDO,Credo Technology Group Holding Ltd,45,1.12,2026-09-18
미국나스닥100,ARM,ARM Holdings PLC,25,0.94,2026-09-18
미국나스닥100,LLY,Eli Lilly & Co,5,0.87,2026-09-18
미국나스닥100,GEV,GE Vernova Inc,6,0.85,2026-09-18
미국나스닥100,TSM,Taiwan Semiconductor Manufacturing Co Ltd,13,0.83,2026-09-18
미국나스닥100,NOW,ServiceNow Inc,18,0.39,2026-09-18
미국S&P500,NVDA,NVIDIA Corp,146,6.85,2026-09-18
미국S&P500,GOOGL,Alphabet Inc,68,5.11,2026-09-18
미국S&P500,MSFT,Microsoft Corp,44,4.73,2026-09-18
미국S&P500,AAPL,Apple Inc,58,4.23,2026-09-18
미국S&P500,BRK-B,Berkshire Hathaway Inc,29,3.31,2026-09-18
미국S&P500,AMZN,Amazon.com Inc,58,3.13,2026-09-18
미국S&P500,JNJ,Johnson & Johnson,51,2.99,2026-09-18
미국S&P500,JPM,JPMorgan Chase & Co,39,2.98,2026-09-18
미국S&P500,CVX,Chevron Corp,59,2.74,2026-09-18
미국S&P500,AVGO,Broadcom Inc,34,2.53,2026-09-18
미국S&P500,CAT,Caterpillar Inc,13,2.23,2026-09-18
미국S&P500,DELL,Dell Technologies Inc,18,2.22,2026-09-18
미국S&P500,META,Meta Platforms Inc,13,1.92,2026-09-18
미국S&P500,LLY,Eli Lilly & Co,7,1.75,2026-09-18
미국S&P500,BE,Bloom Energy Corp,28,1.66,2026-09-18
미국S&P500,MRK,Merck & Co Inc,49,1.56,2026-09-18
미국S&P500,HOOD,Robinhood Markets Inc,63,1.44,2026-09-18
미국S&P500,MU,Micron Technology Inc,7,1.42,2026-09-18
미국S&P500,TSM,Taiwan Semiconductor Manufacturing Co Ltd,15,1.37,2026-09-18
미국S&P500,NEM,Newmont Corp,50,1.34,2026-09-18
미국S&P500,TSLA,Tesla Inc,17,1.34,2026-09-18
미국S&P500,KO,Coca-Cola Co/The,67,1.29,2026-09-18
미국S&P500,AMD,Advanced Micro Devices Inc,11,1.24,2026-09-18
미국S&P500,V,Visa Inc,15,1.22,2026-09-18
미국S&P500,COST,Costco Wholesale Corp,6,1.18,2026-09-18
미국S&P500,SNOW,Snowflake Inc,16,1.16,2026-09-18
미국S&P500,MRVL,Marvell Technology Inc,22,1.11,2026-09-18
미국S&P500,INTC,Intel Corp,49,1.09,2026-09-18
미국S&P500,PLTR,Palantir Technologies Inc,28,1.07,2026-09-18
미국S&P500,PANW,Palo Alto Networks Inc,13,1.07,2026-09-18
미국S&P500,LITE,Lumentum Holdings Inc,5,1.01,2026-09-18
미국S&P500,CRWD,Crowdstrike Holdings Inc,19,1.01,2026-09-18
미국S&P500,NEE,NextEra Energy Inc,57,1.01,2026-09-18
미국S&P500,SNDK,Sandisk Corp,3,1.0,2026-09-18
미국S&P500,VLO,Valero Energy Corp,11,0.97,2026-09-18
미국S&P500,PEP,PepsiCo Inc,33,0.97,2026-09-18
미국S&P500,LIN,Linde PLC,9,0.91,2026-09-18
미국S&P500,SBUX,Starbucks Corp,42,0.9,2026-09-18
미국S&P500,VRT,Vertiv Holdings Co,17,0.89,2026-09-18
미국S&P500,BAC,Bank of America Corp,66,0.84,2026-09-18
미국S&P500,WMT,Walmart Inc,35,0.83,2026-09-18
