종목코드,기업,현재가,주식수(M),TTM매출($M),영업이익률TTM,시총($M),ROE(E),ROIC,WACC,배당수익률,부채자본비율,fPER(사이트),PEG(사이트),52주변동,추정연도,전년도,매출(E),영업이익(E),순이익(E),"순이익(E,조정)",EPS(E),fPOR,fPER,PEG(매출)1y,PEG(영익)1y,PEG(매출)2y,PEG(영익)2y,PEG(영익)3y,영업이익률(E),전년영업이익률,매출증가율1y,영익증가율1y,목표주가,통화,환율,비고,섹터1,섹터2,종목명,보유ETF수,보유ETF,최대비중,유효PEG,Type,탈락조건,플래그,기준일
NVDA,NVIDIA,212.63,24220.0,253490.0,64.02,5150000.0,114.29,104.67,16.39,0.47,0.07,20.77,0.47,,FY 2027,FY 2026,395730.0,261760.0,230630.0,218468.70150025867,9.02,19.674511002444987,23.573170731707318,0.2831297896326202,0.23397318502757983,0.3773484519570786,0.3607735072018175,,66.1461097212746,60.382513661202175,83.25923867741038,100.75159137970707,304.73,USD,,,반도체,Stock Lists Top Stocks Corporate Actions,NVIDIA Corp,6,"글로벌AI인공지능,글로벌소비트렌드,글로벌휴머노이드로봇,나스닥100채권혼합50,미국S&P500,미국나스닥100",7.54,0.23397318502757983,통과,,,2026-08-25
AMZN,Amazon,260.58,10790.0,775680.0,12.08,2810000.0,30.56,11.94,11.33,,0.46,28.29,1.36,,FY 2026,FY 2025,828190.0,109710.0,133310.0,134579.78355975135,12.48,25.61297967368517,20.87980769230769,1.3452998769451998,0.5617110727315064,1.4007502078410428,1.024610026782226,,13.246960238592592,11.156056463761647,15.52056017407799,37.17179294823707,327.0,USD,,,인터넷·플랫폼,Stock Lists Top Analysts Top Stocks Corporate Actions,Amazon.com Inc,5,"글로벌AI인공지능,글로벌소비트렌드,나스닥100채권혼합50,미국S&P500,미국나스닥100",4.69,0.5617110727315064,탈락,PEG매출>1,,2026-08-25
META,Meta Platforms,564.71,2550.0,228250.0,38.08,1440000.0,29.85,25.4,10.38,0.37,0.43,17.46,0.91,-24.98,FY 2026,FY 2025,254190.0,88290.0,81630.0,79457.42062297462,31.16,16.309887869520896,18.122913992297818,0.6843596439368831,3.0125274995580043,0.7787684902959648,2.230056797047301,,34.733860498052636,41.43902074936558,26.4815644125989,6.015850144092227,754.84,USD,,,인터넷·플랫폼,Stock Lists Top Stocks Corporate Actions,Meta Platforms Inc,5,"글로벌AI인공지능,글로벌소비트렌드,나스닥100채권혼합50,미국S&P500,미국나스닥100",1.78,3.0125274995580043,탈락,PEG영익>1,,2026-08-25
LLY,Eli Lilly,1256.51,891.36,79670.0,49.72,1120000.0,102.29,42.24,6.72,0.55,1.62,30.57,1.45,,FY 2026,FY 2025,88180.0,41050.0,31500.0,32721.745151252275,36.71,27.28380024360536,34.22800326886407,0.9699918491585047,0.8956578828945048,1.372278909967395,0.862759265810988,,46.552506237242,45.56612457809143,35.286897821417604,38.215488215488215,1311.0,USD,,,미분류,Stock Lists Top Stocks Corporate Actions,Eli Lilly & Co,4,"글로벌바이오,나스닥100채권혼합50,미국S&P500,미국나스닥100",12.72,0.8956578828945048,탈락,fPER>30,,2026-08-25
MSFT,Microsoft,488.56,7430.0,331840.0,46.78,3630000.0,34.04,26.18,10.01,0.74,0.29,24.67,1.54,-3.51,FY 2027,FY 2026,391080.0,182160.0,146940.0,146593.86769281153,19.73,19.92753623188406,24.76229092752154,1.3870895714700788,1.4279710414518736,1.3200860419821838,1.4747702879820064,,46.578705124271245,46.78158148505304,17.8519768563163,17.340891522803403,569.56,USD,,,소프트웨어,Stock Lists Top Stocks Corporate Actions,Microsoft Corp,4,"글로벌소비트렌드,나스닥100채권혼합50,미국S&P500,미국나스닥100",5.97,1.4279710414518736,탈락,"PEG매출>1,PEG영익>1",,2026-08-25
AAPL,Apple,309.7,14590.0,466820.0,33.17,4520000.0,148.75,101.57,10.04,0.35,0.78,33.89,3.21,,FY 2026,FY 2025,477680.0,156310.0,129940.0,128725.86373910238,8.82,28.916895911969803,35.11337868480725,2.3752899339189515,2.0085275296705083,2.8505673169611145,2.6834954929517676,,32.72274325908558,31.970876585928487,14.78277585544021,17.48214956783165,326.34,USD,,,미분류,Stock Lists Top Analysts Top Stocks Corporate Actions,Apple Inc,4,"글로벌소비트렌드,나스닥100채권혼합50,미국S&P500,미국나스닥100",5.54,2.0085275296705083,탈락,"PEG매출>1,PEG영익>1,fPER>30",,2026-08-25
SNDK,Sandisk,1495.97,146.42,20250.0,61.58,219040.0,91.64,102.23,,,0.01,6.98,0.18,,FY 2027,FY 2026,48960.0,38940.0,33400.0,31348.53239035542,214.1,5.6250642013353875,6.987248949089211,0.049283103872886286,0.032916884924496584,0.10136328050748696,0.07492598598718693,,79.5343137254902,61.58024691358025,141.77777777777777,212.26944667201283,2126.0,USD,,,반도체,Stock Lists Top Analysts Top Stocks Corporate Actions,Sandisk Corp,4,"글로벌AI인공지능,나스닥100채권혼합50,미국S&P500,미국나스닥100",5.54,0.07492598598718693,통과,,기저효과(2y),2026-08-25
GOOGL,Alphabet,346.53,12230.0,445870.0,33.11,4240000.0,48.68,24.93,10.79,0.25,0.19,26.11,1.98,,FY 2026,FY 2025,497860.0,171650.0,251980.0,251930.85735722736,20.59,24.701427323041074,16.8300145701797,0.7135132676753515,0.5096796714705438,0.7341453923425935,0.9872027405762073,,34.4775639738079,32.03256876179128,23.587528547314072,33.02076875387478,428.07,USD,,,인터넷·플랫폼,Stock Lists Top Stocks Corporate Actions,Alphabet Inc,4,"글로벌소비트렌드,나스닥100채권혼합50,미국S&P500,미국나스닥100",5.19,0.5096796714705438,통과,,비지배괴리,2026-08-25
TSLA,Tesla,356.96,3950.0,103620.0,4.13,1410000.0,4.67,5.46,14.15,,0.18,183.31,6.77,,FY 2026,FY 2025,106030.0,4290.0,3840.0,6991.539668310175,1.77,328.6713286713287,201.6723163841808,17.07552300242131,,15.692727048752626,14.33312604406832,,4.04602470998774,4.597701149425287,11.810608457239269,-1.6055045871559592,390.09,USD,,,미분류,Stock Lists Top Analysts Top Stocks Corporate Actions,Tesla Inc,4,"글로벌휴머노이드로봇,나스닥100채권혼합50,미국S&P500,미국나스닥100",4.91,,탈락,"PEG매출>1,PEG영익>1,ROE<10,이익률<10,fPER>30,전년이익률<5",,2026-08-25
AMD,Advanced Micro Devices,477.67,1630.0,41310.0,15.82,778610.0,10.2,9.77,17.86,,0.06,41.12,0.63,,FY 2026,FY 2025,50810.0,14340.0,9380.0,12339.225197311953,7.57,54.29637377963738,63.1003963011889,1.351761118041548,0.22263724732683635,1.0710375874942237,0.6809041042985509,,28.22279078921472,10.796766743648961,46.68013856812934,283.4224598930481,612.29,USD,,,반도체,Stock Lists Top Stocks Corporate Actions,Advanced Micro Devices Inc,4,"글로벌AI인공지능,나스닥100채권혼합50,미국S&P500,미국나스닥100",3.23,0.6809041042985509,탈락,"PEG매출>1,fPER>30","기저효과(2y),비지배괴리",2026-08-25
HOOD,Robinhood,111.15,899.08,4930.0,46.03,99930.0,23.62,7.01,13.65,,2.4,46.96,2.35,,FY 2026,FY 2025,5170.0,2260.0,1890.0,2247.638326585695,2.5,44.216814159292035,44.46,2.839088571428573,5.465964705882347,2.1693224852792574,2.490598606780881,,43.7137330754352,46.75615212527964,15.659955257270685,8.133971291866038,119.93,USD,,,미분류,Stock Lists Top Stocks Corporate Actions,Robinhood Markets Inc,4,"글로벌AI인공지능,나스닥100채권혼합50,미국S&P500,미국나스닥100",3.19,5.465964705882347,탈락,"PEG매출>1,PEG영익>1,fPER>30",,2026-08-25
INTC,Intel,88.58,5250.0,57030.0,7.82,465030.0,-10.72,3.42,15.1,,0.49,52.52,0.76,,FY 2026,FY 2025,62990.0,9610.0,-11800.0,7927.244298938813,1.51,48.39021852237253,58.662251655629134,3.0574950690335294,,3.646871531837911,0.48727144537835826,,15.256389903159231,1.7540208136234625,19.18637653736992,936.6774541531823,114.88,USD,,기저효과→PEG(영익)1y 산출불가,반도체,Stock Lists Top Analysts Top Stocks Corporate Actions,Intel Corp,4,"글로벌AI인공지능,나스닥100채권혼합50,미국S&P500,미국나스닥100",3.06,0.48727144537835826,탈락,"PEG매출>1,ROE<10,fPER>30,전년이익률<5",기저효과(2y),2026-08-25
LITE,Lumentum Holdings,862.21,89.7,3010.0,17.79,77340.0,-240.03,16.03,12.32,,0.36,39.87,0.31,,FY 2027,FY 2026,6270.0,2570.0,1950.0,1939.3080572018418,21.62,30.09338521400778,39.880203515263645,0.3682190569967594,0.1051419270571559,0.5217481616815295,0.4192393955837116,,40.98883572567783,17.813953488372096,108.30564784053158,379.2987691160015,1148.0,USD,,,AI·전력인프라,Stock Lists Top Stocks Corporate Actions,Lumentum Holdings Inc,4,"글로벌AI인공지능,나스닥100채권혼합50,미국S&P500,미국나스닥100",2.9,0.4192393955837116,탈락,"ROE<10,fPER>30",기저효과(2y),2026-08-25
DELL,Dell Technologies,449.96,646.14,134000.0,8.44,290740.0,,23.97,11.18,0.56,,22.64,0.88,,FY 2027,FY 2026,172410.0,15840.0,10990.0,12070.013334518624,18.68,18.35479797979798,24.08779443254818,0.4645707796622253,0.29500781945480353,0.7732211000357846,0.5088377190369129,,9.187402122846702,7.6801127355997885,51.84956843403206,81.65137614678899,508.96,USD,,,AI·전력인프라,Stock Lists Top Stocks Corporate Actions,Dell Technologies Inc,4,"글로벌AI인공지능,나스닥100채권혼합50,미국S&P500,미국나스닥100",2.69,0.29500781945480353,탈락,"ROE<10,이익률<10",,2026-08-25
PLTR,Palantir,174.64,2400.0,6160.0,42.8,419670.0,38.1,363.8,12.84,,0.02,92.41,1.72,,FY 2026,FY 2025,8189.999999999999,4940.0,3860.0,3844.892349977096,1.6,84.95344129554655,109.14999999999999,1.318037735849057,0.43598158640226625,1.682172643887628,1.4457090027729327,,60.31746031746032,31.473214285714285,82.81249999999997,250.354609929078,191.68,USD,,,소프트웨어,Stock Lists Top Analysts Top Stocks Corporate Actions,Palantir Technologies Inc,4,"글로벌우주테크&방산,나스닥100채권혼합50,미국S&P500,미국나스닥100",2.27,1.4457090027729327,탈락,"PEG매출>1,PEG영익>1,fPER>30",기저효과(2y),2026-08-25
WMT,Walmart,105.03,7960.0,735840.0,4.34,835840.0,22.31,14.74,7.17,0.94,0.7,35.61,3.81,,FY 2027,FY 2026,752110.0,33730.0,22990.0,22919.348757497857,2.88,24.7803142603024,36.46875,6.6772923620025795,2.7893918269230746,7.35256657462373,3.4368007729152756,,4.4847163313876965,4.182792080318582,5.461607493409604,13.074086490110638,128.43,USD,,,미분류,Stock Lists Top Stocks Corporate Actions,Walmart Inc,4,"글로벌소비트렌드,나스닥100채권혼합50,미국S&P500,미국나스닥100",2.2,2.7893918269230746,탈락,"PEG매출>1,PEG영익>1,이익률<10,fPER>30,전년이익률<5",,2026-08-25
MSTR,Strategy,128.36,384.23,498.35,-7295.38,49320.0,-63.56,-71.75,20.89,,0.15,3.1,,-64.4,FY 2026,FY 2025,499.1,-10980.0,-9160.0,15909.677419354839,-17.44,,3.1,0.6764577046181987,,0.8640007866270791,,,-2199.959927870166,-1139.9115730360622,4.582695974687256,,232.29,USD,,기저효과→PEG(영익)1y 산출불가,금융,Stock Lists Top Stocks Corporate Actions,Strategy Inc,4,"글로벌AI인공지능,나스닥100채권혼합50,미국S&P500,미국나스닥100",2.08,,금융,영업이익·PEG 기준 부적합(별도 판단),기저효과(2y),2026-08-25
TER,Teradyne,367.72,156.34,4460.0,30.74,57490.0,36.46,38.24,14.1,0.14,0.03,37.73,1.02,,FY 2026,FY 2025,5140.0,1670.0,1400.0,1421.146796475579,9.09,34.4251497005988,40.45324532453246,0.6617736030013259,0.28064985140866294,1.0205984698428616,0.5715146827051861,,32.490272373540854,21.44294670846395,61.12852664576802,144.14133883016825,449.8,USD,,,미분류,Stock Lists Top Stocks Corporate Actions,Teradyne Inc,3,"글로벌휴머노이드로봇,나스닥100채권혼합50,미국나스닥100",6.46,0.28064985140866294,탈락,fPER>30,,2026-08-25
MU,Micron Technology,920.35,1130.0,90270.0,65.67,1040000.0,66.64,67.64,16.34,0.06,0.06,6.33,0.04,,FY 2026,FY 2025,129720.0,98090.0,82620.0,82942.35888520672,73.4,10.60250790090733,12.538828337874659,0.05075821997723139,0.013933609650492795,0.0816559481402712,0.037717031531482766,,75.61671292013568,26.243980738362758,247.03049759229538,899.8980632008156,1515.0,USD,,,반도체,Stock Lists Top Analysts Top Stocks Corporate Actions,Micron Technology Inc,3,"나스닥100채권혼합50,미국S&P500,미국나스닥100",3.97,0.037717031531482766,통과,,"기저효과(2y),비지배괴리",2026-08-25
STX,Seagate Technology,817.42,226.64,12200.0,34.65,185260.0,371.53,85.92,15.62,0.36,1.8,22.21,0.33,,FY 2027,FY 2026,18780.0,9880.0,8420.0,8109.176188495511,35.78,18.751012145748987,22.845723868082725,0.4235833300769138,0.17103966718936273,0.5256220340741748,0.25809037896121245,,52.609158679446224,34.67213114754099,53.93442622950819,133.56973995271866,1125.0,USD,,,반도체,Stock Lists Top Analysts Top Stocks Corporate Actions,Seagate Technology Holdings PLC,3,"글로벌AI인공지능,나스닥100채권혼합50,미국나스닥100",3.97,0.17103966718936273,통과,,,2026-08-25
WDC,Western Digital,444.28,360.54,12920.0,35.82,160180.0,130.85,52.9,16.42,0.13,0.13,21.67,0.31,,FY 2027,FY 2026,19190.0,9400.0,7750.0,7243.216440082831,20.09,17.040425531914895,22.11448481831757,0.455692414438059,0.2146542237081978,0.5198650135470014,0.2899993411127543,,48.98384575299635,35.8359133126935,48.529411764705884,103.02375809935205,664.92,USD,,,반도체,Stock Lists Top Stocks Corporate Actions,Western Digital Corp,3,"글로벌AI인공지능,나스닥100채권혼합50,미국나스닥100",3.63,0.2146542237081978,통과,,,2026-08-25
