종목코드,기업,현재가,주식수(M),TTM매출($M),시총($M),ROE(E),ROIC,WACC,배당수익률,부채자본비율,fPER(사이트),PEG(사이트),52주변동,추정연도,전년도,매출(E),영업이익(E),순이익(E),"순이익(E,조정)",EPS(E),fPOR,fPER,PEG(매출)1y,PEG(영익)1y,PEG(매출)2y,PEG(영익)2y,PEG(영익)3y,영업이익률(E),전년영업이익률,매출증가율1y,영익증가율1y,목표주가,통화,환율,비고,섹터1,섹터2,종목명,보유ETF수,보유ETF,최대비중,유효PEG,Type,탈락조건,플래그,기준일
NVDA,NVIDIA,214.72,24220.0,253490.0,5200000.0,114.29,104.67,16.39,0.47,0.07,21.42,0.48,,FY 2027,FY 2026,395230.0,261310.0,229240.0,217716.09538002982,8.99,19.89973594581149,23.884315906562847,0.28766686244984,0.2378762565732301,0.38353731428576165,0.36839934903391747,,66.11593249500291,60.382513661202175,83.02769287765119,100.40647288902527,304.73,USD,,,반도체,Stock Lists Top Stocks Corporate Actions,NVIDIA Corp,6,"글로벌AI인공지능,글로벌소비트렌드,글로벌휴머노이드로봇,나스닥100채권혼합50,미국S&P500,미국나스닥100",7.69,0.2378762565732301,통과,,,2026-08-23
AMZN,Amazon,258.63,10790.0,775680.0,2790000.0,30.56,11.94,11.32,,0.46,27.91,1.34,,FY 2026,FY 2025,828280.0,109650.0,132430.0,134413.6411089201,12.46,25.444596443228455,20.756821829855536,1.3362949628466254,0.5595317188917581,1.3937481318702891,1.0156882600740833,,13.238276911189454,11.156056463761647,15.53311387602523,37.09677419354838,327.0,USD,,,인터넷·플랫폼,Stock Lists Top Analysts Top Stocks Corporate Actions,Amazon.com Inc,5,"글로벌AI인공지능,글로벌소비트렌드,나스닥100채권혼합50,미국S&P500,미국나스닥100",4.84,0.5595317188917581,탈락,PEG매출>1,,2026-08-23
META,Meta Platforms,549.02,2550.0,228250.0,1400000.0,29.85,25.4,10.37,0.38,0.43,17.17,0.88,-26.46,FY 2026,FY 2025,254190.0,88290.0,81590.0,79457.94324432625,31.16,15.856835428700872,17.619383825417202,0.6653452776012955,2.9288269161292266,0.7571310522963833,2.1680965145205664,,34.733860498052636,41.43902074936558,26.4815644125989,6.015850144092227,754.14,USD,,,인터넷·플랫폼,Stock Lists Top Analysts Top Stocks Corporate Actions,Meta Platforms Inc,5,"글로벌AI인공지능,글로벌소비트렌드,나스닥100채권혼합50,미국S&P500,미국나스닥100",1.79,2.9288269161292266,탈락,PEG영익>1,,2026-08-23
LLY,Eli Lilly,1254.15,891.36,79670.0,1120000.0,102.29,42.24,6.72,0.55,1.62,30.78,1.46,,FY 2026,FY 2025,88190.0,41030.0,31350.0,32801.18008212733,36.73,27.297099683158663,34.14511298665941,0.967222279213586,0.8950660685823341,1.3682820666313602,0.8574757008098379,,46.52454926862456,45.56612457809143,35.302239950905175,38.14814814814815,1311.0,USD,,,미분류,Stock Lists Top Stocks Corporate Actions,Eli Lilly & Co,4,"글로벌바이오,나스닥100채권혼합50,미국S&P500,미국나스닥100",12.76,0.8950660685823341,탈락,fPER>30,,2026-08-23
MSFT,Microsoft,483.18,7430.0,331840.0,3590000.0,34.04,26.18,10.01,0.75,0.29,24.49,1.52,-4.45,FY 2027,FY 2026,391080.0,182160.0,146940.0,146592.78115816053,19.73,19.707949055775142,24.48960973137354,1.3718150056142802,1.4122462907497875,1.3055493158771727,1.4585301861534834,,46.578705124271245,46.78158148505304,17.8519768563163,17.340891522803403,569.56,USD,,,소프트웨어,Stock Lists Top Analysts Top Stocks Corporate Actions,Microsoft Corp,4,"글로벌소비트렌드,나스닥100채권혼합50,미국S&P500,미국나스닥100",6.0,1.4122462907497875,탈락,"PEG매출>1,PEG영익>1",,2026-08-23
AAPL,Apple,309.35,14590.0,466820.0,4510000.0,148.75,101.57,10.04,0.35,0.78,33.78,3.2,,FY 2026,FY 2025,477680.0,156310.0,129940.0,128586.39081946014,8.82,28.85292047853624,35.07369614512472,2.3726055571773585,2.006257640631488,2.8473458169258024,2.68046280511666,,32.72274325908558,31.970876585928487,14.78277585544021,17.48214956783165,326.34,USD,,,미분류,Stock Lists Top Stocks Corporate Actions,Apple Inc,4,"글로벌소비트렌드,나스닥100채권혼합50,미국S&P500,미국나스닥100",5.69,2.006257640631488,탈락,"PEG매출>1,PEG영익>1,fPER>30",,2026-08-23
SNDK,Sandisk,1596.08,146.42,20250.0,233700.0,91.64,102.23,,,0.01,7.45,0.19,,FY 2027,FY 2026,48960.0,38940.0,33400.0,31348.785775149117,214.1,6.001540832049306,7.454834189631013,0.052581118892381755,0.03511967598968596,0.10814649007158551,0.07994001732282686,,79.5343137254902,61.58024691358025,141.77777777777777,212.26944667201283,2126.0,USD,,,반도체,Stock Lists Top Stocks Corporate Actions,Sandisk Corp,4,"글로벌AI인공지능,나스닥100채권혼합50,미국S&P500,미국나스닥100",5.52,0.07994001732282686,통과,,기저효과,2026-08-23
GOOGL,Alphabet,345.05,12230.0,445870.0,4220000.0,48.68,24.93,10.78,0.26,0.19,25.87,1.96,,FY 2026,FY 2025,497740.0,171500.0,251850.0,251695.696275902,20.58,24.606413994169095,16.76627793974733,0.7117099478659447,0.5095432184043794,0.7336276561517283,0.9926741685023052,,34.455739944549364,32.03256876179128,23.5577400456757,32.9045257284563,428.07,USD,,,인터넷·플랫폼,Stock Lists Top Analysts Top Stocks Corporate Actions,Alphabet Inc,4,"글로벌소비트렌드,나스닥100채권혼합50,미국S&P500,미국나스닥100",5.25,0.5095432184043794,통과,,비지배괴리,2026-08-23
WMT,Walmart,103.7,7960.0,735840.0,825250.0,22.31,14.74,7.16,0.95,0.7,34.67,3.71,,FY 2027,FY 2026,752490.0,33740.0,22970.0,23078.35101253616,2.9,24.459098992294013,35.758620689655174,6.484011678371339,2.7280809595202418,7.136371801141543,3.1191864139298513,,4.483780515355686,4.182792080318582,5.514891468955074,13.10760978880321,128.43,USD,,,미분류,Stock Lists Top Analysts Top Stocks Corporate Actions,Walmart Inc,4,"글로벌소비트렌드,나스닥100채권혼합50,미국S&P500,미국나스닥100",4.06,2.7280809595202418,탈락,"PEG매출>1,PEG영익>1,이익률<10,fPER>30,전년이익률<5",,2026-08-23
TSLA,Tesla,362.03,3950.0,103620.0,1430000.0,4.67,5.46,14.16,,0.18,190.62,7.04,,FY 2026,FY 2025,106030.0,4290.0,3840.0,6991.409551694611,1.77,333.3333333333333,204.5367231638418,17.318051301452787,,15.91561512062952,14.536703332961828,,4.04602470998774,4.597701149425287,11.810608457239269,-1.6055045871559592,395.34,USD,,,미분류,Stock Lists Top Analysts Top Stocks Corporate Actions,Tesla Inc,4,"글로벌휴머노이드로봇,나스닥100채권혼합50,미국S&P500,미국나스닥100",3.83,,탈락,"PEG매출>1,PEG영익>1,ROE<10,이익률<10,fPER>30,전년이익률<5",,2026-08-23
