종목코드,기업,현재가,주식수(M),TTM매출($M),시총($M),ROE(E),ROIC,WACC,배당수익률,부채자본비율,fPER(사이트),PEG(사이트),52주변동,추정연도,전년도,매출(E),영업이익(E),순이익(E),"순이익(E,조정)",EPS(E),EPS(FY2),fPOR,fPER,PEG(매출)1y,PEG(영익)1y,PEG(매출)2y,PEG(영익)2y,PEG(영익)3y,PEG(영익)fwd,영익증가율fwd,fwd기준,영업이익률(E),전년영업이익률,매출증가율1y,영익증가율1y,목표주가,통화,환율,비고,섹터1,섹터2,종목명,보유ETF수,보유ETF,최대비중,유효PEG,Type,탈락조건,플래그,기준일
NVDA,NVIDIA,208.48,24220.0,253490.0,5050000.0,114.29,104.67,16.39,0.48,0.07,20.77,0.47,,FY 2027,FY 2026,395730.0,261760.0,230630.0,218490.9823484267,9.02,13.04,19.292481662591687,23.11308203991131,0.27760381198611983,0.22940662001857612,0.3699835642384035,0.35373212049774216,,0.5186069651741295,44.56762749445675,eps,66.1461097212746,60.382513661202175,83.25923867741038,100.75159137970707,304.73,USD,,,반도체,Stock Lists Top Analysts Top Stocks Corporate Actions,NVIDIA Corp,6,"글로벌AI인공지능,글로벌소비트렌드,글로벌휴머노이드로봇,나스닥100채권혼합50,미국S&P500,미국나스닥100",7.54,0.22940662001857612,통과,,,2026-08-25
AMZN,Amazon,262.28,10790.0,775680.0,2830000.0,30.56,11.94,11.33,,0.46,28.29,1.36,,FY 2026,FY 2025,828190.0,109710.0,133310.0,134659.1429007168,12.48,10.39,25.795278461398233,21.01602564102564,1.354076489850284,0.5653756242076119,1.409888573614816,1.0312944885426443,,,-16.74679487179487,eps,13.246960238592592,11.156056463761647,15.52056017407799,37.17179294823707,327.0,USD,,,인터넷·플랫폼,Stock Lists Top Analysts Top Stocks Corporate Actions,Amazon.com Inc,5,"글로벌AI인공지능,글로벌소비트렌드,나스닥100채권혼합50,미국S&P500,미국나스닥100",4.69,0.5653756242076119,탈락,PEG매출>1,,2026-08-25
META,Meta Platforms,556.86,2550.0,228250.0,1420000.0,29.85,25.4,10.38,0.38,0.43,17.46,0.91,-25.94,FY 2026,FY 2025,254190.0,88290.0,81630.0,79458.39169629708,31.16,34.7,16.083361649110884,17.870988446726574,0.674846401378925,2.970650534617539,0.7679428760004445,2.199056910633352,,1.5730508474576272,11.360718870346599,eps,34.733860498052636,41.43902074936558,26.4815644125989,6.015850144092227,754.14,USD,,,인터넷·플랫폼,Stock Lists Top Analysts Top Stocks Corporate Actions,Meta Platforms Inc,5,"글로벌AI인공지능,글로벌소비트렌드,나스닥100채권혼합50,미국S&P500,미국나스닥100",1.78,2.970650534617539,탈락,PEG영익>1,,2026-08-25
LLY,Eli Lilly,1246.93,891.36,79670.0,1110000.0,102.29,42.24,6.72,0.56,1.62,30.57,1.45,,FY 2026,FY 2025,88180.0,41050.0,31500.0,32678.738982942108,36.71,47.23,27.040194884287455,33.967038953963495,0.9625963473997136,0.888829125050851,1.36181625391413,0.856181336652868,,1.185294676806084,28.65704167801688,eps,46.552506237242,45.56612457809143,35.286897821417604,38.215488215488215,1311.0,USD,,,미분류,Stock Lists Top Analysts Top Stocks Corporate Actions,Eli Lilly & Co,4,"글로벌바이오,나스닥100채권혼합50,미국S&P500,미국나스닥100",12.72,0.888829125050851,탈락,fPER>30,,2026-08-25
MSFT,Microsoft,487.28,7430.0,331840.0,3620000.0,34.04,26.18,10.01,0.75,0.29,24.67,1.54,-3.93,FY 2027,FY 2026,391080.0,182160.0,146940.0,146574.04367098998,19.73,23.57,19.87263943785683,24.697415103902685,1.383455474017398,1.424229836823868,1.316627490046419,1.4709064719335845,,1.2689583333333332,19.46274708565636,eps,46.578705124271245,46.78158148505304,17.8519768563163,17.340891522803403,569.56,USD,,,소프트웨어,Stock Lists Top Stocks Corporate Actions,Microsoft Corp,4,"글로벌소비트렌드,나스닥100채권혼합50,미국S&P500,미국나스닥100",5.97,1.424229836823868,탈락,"PEG매출>1,PEG영익>1",,2026-08-25
AAPL,Apple,310.49,14590.0,466820.0,4530000.0,148.75,101.57,10.04,0.35,0.78,33.89,3.21,,FY 2026,FY 2025,477680.0,156310.0,129940.0,128682.40523044222,8.82,9.54,28.980871345403365,35.202947845804985,2.381348955707121,2.0136509935014404,2.8578387027551067,2.690340702636727,,4.312361111111117,8.163265306122437,eps,32.72274325908558,31.970876585928487,14.78277585544021,17.48214956783165,326.34,USD,,,미분류,Stock Lists Top Stocks Corporate Actions,Apple Inc,4,"글로벌소비트렌드,나스닥100채권혼합50,미국S&P500,미국나스닥100",5.54,2.0136509935014404,탈락,"PEG매출>1,PEG영익>1,fPER>30",,2026-08-25
SNDK,Sandisk,1493.12,146.42,20250.0,218620.0,91.64,102.23,,,0.01,6.97,0.18,,FY 2027,FY 2026,48960.0,38940.0,33400.0,31348.14482426061,214.1,264.72,5.614278376990241,6.9739374124241005,0.04918921372399444,,0.10117017145486802,0.07478324311128469,,0.2949664164361909,23.643157403082693,eps,79.5343137254902,61.58024691358025,141.77777777777777,212.26944667201283,2126.0,USD,,기저효과→PEG(영익)fwd 기준,반도체,Stock Lists Top Analysts Top Stocks Corporate Actions,Sandisk Corp,4,"글로벌AI인공지능,나스닥100채권혼합50,미국S&P500,미국나스닥100",5.54,0.2949664164361909,통과,,기저효과(fwd),2026-08-25
GOOGL,Alphabet,347.95,12230.0,445870.0,4260000.0,48.68,24.93,10.79,0.25,0.19,26.11,1.98,,FY 2026,FY 2025,497860.0,171650.0,251980.0,252086.21928437997,20.59,14.81,24.81794348965919,16.898980087421076,0.71643708044798,0.5117682211877058,0.7371537508025434,0.9912480696721533,,,-28.071879553181155,eps,34.4775639738079,32.03256876179128,23.587528547314072,33.02076875387478,428.07,USD,,,인터넷·플랫폼,Stock Lists Top Stocks Corporate Actions,Alphabet Inc,4,"글로벌소비트렌드,나스닥100채권혼합50,미국S&P500,미국나스닥100",5.19,0.5117682211877058,통과,,비지배괴리,2026-08-25
TSLA,Tesla,348.95,3950.0,103620.0,1380000.0,4.67,5.46,14.15,,0.18,183.31,6.77,,FY 2026,FY 2025,106030.0,4290.0,3840.0,6999.856712996131,1.77,2.16,321.67832167832165,197.14689265536722,16.692356991525426,,15.340590272473747,14.01149801960343,,8.947435897435893,22.033898305084755,eps,4.04602470998774,4.597701149425287,11.810608457239269,-1.6055045871559592,395.34,USD,,,미분류,Stock Lists Top Stocks Corporate Actions,Tesla Inc,4,"글로벌휴머노이드로봇,나스닥100채권혼합50,미국S&P500,미국나스닥100",4.91,,탈락,"PEG매출>1,PEG영익>1,ROE<10,이익률<10,fPER>30,전년이익률<5",,2026-08-25
AMD,Advanced Micro Devices,456.75,1630.0,41310.0,745620.0,10.2,9.77,17.85,,0.06,41.12,0.63,,FY 2026,FY 2025,50810.0,14340.0,9380.0,12357.621018062398,7.57,15.48,51.99581589958159,60.33685601056803,1.2925594880680744,0.21288664290521175,1.024130504507268,0.6510832784942808,,0.577433628318584,104.49141347424043,eps,28.22279078921472,10.796766743648961,46.68013856812934,283.4224598930481,613.09,USD,,,반도체,Stock Lists Top Analysts Top Stocks Corporate Actions,Advanced Micro Devices Inc,4,"글로벌AI인공지능,나스닥100채권혼합50,미국S&P500,미국나스닥100",3.23,0.577433628318584,탈락,"PEG매출>1,fPER>30","기저효과(fwd),비지배괴리",2026-08-25
HOOD,Robinhood,103.62,899.08,4930.0,93160.0,23.62,7.01,13.65,,2.4,43.78,2.35,-5.21,FY 2026,FY 2025,5170.0,2260.0,1890.0,2247.635591584636,2.5,3.25,41.2212389380531,41.448,2.646750857142859,5.095665882352936,2.022358937693537,2.3218697942837148,,1.3816,30.000000000000004,eps,43.7137330754352,46.75615212527964,15.659955257270685,8.133971291866038,119.93,USD,,,미분류,Stock Lists Top Analysts Top Stocks Corporate Actions,Robinhood Markets Inc,4,"글로벌AI인공지능,나스닥100채권혼합50,미국S&P500,미국나스닥100",3.19,5.095665882352936,탈락,"PEG매출>1,PEG영익>1,fPER>30",,2026-08-25
INTC,Intel,87.26,5250.0,57030.0,458510.0,-10.72,3.42,15.1,,0.49,52.51,0.76,,FY 2026,FY 2025,62990.0,9610.0,-11800.0,7934.335319734127,1.51,2.04,47.71175858480749,57.78807947019868,3.0119329388560154,,3.5925266410947865,0.48001023169694684,,1.6464150943396225,35.099337748344375,eps,15.256389903159231,1.7540208136234625,19.18637653736992,936.6774541531823,114.88,USD,,기저효과→PEG(영익)fwd 기준,반도체,Stock Lists Top Analysts Top Stocks Corporate Actions,Intel Corp,4,"글로벌AI인공지능,나스닥100채권혼합50,미국S&P500,미국나스닥100",3.06,1.6464150943396225,탈락,"PEG매출>1,PEG영익>1,ROE<10,fPER>30,전년이익률<5",기저효과(fwd),2026-08-25
