종목코드,기업,현재가,주식수(M),TTM매출($M),영업이익률TTM,시총($M),ROE(E),ROIC,WACC,배당수익률,부채자본비율,fPER(사이트),PEG(사이트),52주변동,추정연도,전년도,매출(E),영업이익(E),순이익(E),"순이익(E,조정)",EPS(E),fPOR,fPER,PEG(매출)1y,PEG(영익)1y,PEG(매출)2y,PEG(영익)2y,PEG(영익)3y,영업이익률(E),전년영업이익률,매출증가율1y,영익증가율1y,목표주가,통화,환율,비고,섹터1,섹터2,종목명,보유ETF수,보유ETF,최대비중,유효PEG,Type,탈락조건,플래그,기준일
NVDA,NVIDIA,209.66,24220.0,302970.0,65.21,5080000.0,117.21,102.68,16.31,0.48,0.17,19.08,0.43,,FY 2027,FY 2026,395730.0,261760.0,230630.0,218551.94123819514,9.02,19.40709046454768,23.243902439024392,0.2791750538229561,0.23070506500908802,0.3720776768909425,0.3557342497292624,,66.1461097212746,60.382513661202175,83.25923867741038,100.75159137970707,305.79,USD,,,반도체,Stock Lists Top Analysts Top Stocks Corporate Actions,NVIDIA Corp,6,"글로벌AI인공지능,글로벌소비트렌드,글로벌휴머노이드로봇,나스닥100채권혼합50,미국S&P500,미국나스닥100",7.63,0.23070506500908802,통과,,,2026-08-27
AMZN,Amazon,260.28,10790.0,775680.0,12.08,2810000.0,30.56,11.94,11.32,,0.46,28.09,1.35,,FY 2026,FY 2025,828190.0,109710.0,133310.0,134734.90087597974,12.48,25.61297967368517,20.855769230769226,1.343751062903126,0.5610643871768995,1.3991375550574356,1.0234304158833287,,13.246960238592592,11.156056463761647,15.52056017407799,37.17179294823707,327.0,USD,,,인터넷·플랫폼,Stock Lists Top Analysts Top Stocks Corporate Actions,Amazon.com Inc,5,"글로벌AI인공지능,글로벌소비트렌드,나스닥100채권혼합50,미국S&P500,미국나스닥100",4.68,0.5610643871768995,탈락,PEG매출>1,,2026-08-27
META,Meta Platforms,576.47,2550.0,228250.0,38.08,1470000.0,29.85,25.4,10.4,0.36,0.43,17.99,0.93,-23.52,FY 2026,FY 2025,254190.0,88290.0,81630.0,79458.08107967456,31.16,16.649677200135915,18.500320924261874,0.6986113296033274,3.075262927290473,0.7949862258520566,2.2764973912164783,,34.733860498052636,41.43902074936558,26.4815644125989,6.015850144092227,754.84,USD,,,인터넷·플랫폼,Stock Lists Top Analysts Top Stocks Corporate Actions,Meta Platforms Inc,5,"글로벌AI인공지능,글로벌소비트렌드,나스닥100채권혼합50,미국S&P500,미국나스닥100",1.87,3.075262927290473,탈락,PEG영익>1,,2026-08-27
LLY,Eli Lilly,1189.41,891.36,79670.0,49.72,1060000.0,102.29,42.24,6.7,0.58,1.62,29.16,1.38,,FY 2026,FY 2025,88180.0,41050.0,31500.0,32715.884346020295,36.71,25.82216808769793,32.40016344320349,0.9181924579252191,0.8478280654300825,1.2989966321830462,0.8166862964467034,,46.552506237242,45.56612457809143,35.286897821417604,38.215488215488215,1315.0,USD,,,미분류,Stock Lists Top Stocks Corporate Actions,Eli Lilly & Co,4,"글로벌바이오,나스닥100채권혼합50,미국S&P500,미국나스닥100",12.34,0.8478280654300825,탈락,fPER>30,,2026-08-27
MSFT,Microsoft,495.94,7430.0,331840.0,46.78,3690000.0,34.04,26.18,10.02,0.73,0.29,25.13,1.56,-1.56,FY 2027,FY 2026,391080.0,182160.0,146940.0,146948.21954268662,19.75,20.25691699604743,25.110886075949367,1.4066165488593918,1.4480735343352078,1.3448575128681584,1.4955316048141518,,46.578705124271245,46.78158148505304,17.8519768563163,17.340891522803403,569.45,USD,,,소프트웨어,Stock Lists Top Analysts Top Stocks Corporate Actions,Microsoft Corp,4,"글로벌소비트렌드,나스닥100채권혼합50,미국S&P500,미국나스닥100",6.01,1.4480735343352078,탈락,"PEG매출>1,PEG영익>1",,2026-08-27
AAPL,Apple,311.78,14590.0,466820.0,33.17,4570000.0,148.75,101.57,10.04,0.34,0.78,33.84,3.21,,FY 2026,FY 2025,477680.0,156310.0,129940.0,129281.54467894028,8.82,29.23677307913761,35.34920634920635,2.391242801411853,2.0220171559595452,2.8697122314566883,2.7015183235146987,,32.72274325908558,31.970876585928487,14.78277585544021,17.48214956783165,326.34,USD,,,미분류,Stock Lists Top Analysts Top Stocks Corporate Actions,Apple Inc,4,"글로벌소비트렌드,나스닥100채권혼합50,미국S&P500,미국나스닥100",5.5,2.0220171559595452,탈락,"PEG매출>1,PEG영익>1,fPER>30",,2026-08-27
SNDK,Sandisk,1499.39,146.42,20250.0,61.58,219540.0,91.64,102.23,,,0.01,7.0,0.18,,FY 2027,FY 2026,48960.0,38940.0,33400.0,31348.42435923942,214.1,5.637904468412943,7.003222793087343,0.0493957720515565,0.03299213760098193,0.10159501137062969,0.07509727743826963,,79.5343137254902,61.58024691358025,141.77777777777777,212.26944667201283,2126.0,USD,,,반도체,Stock Lists Top Analysts Top Stocks Corporate Actions,Sandisk Corp,4,"글로벌AI인공지능,나스닥100채권혼합50,미국S&P500,미국나스닥100",5.23,0.07509727743826963,통과,,기저효과(2y),2026-08-27
GOOGL,Alphabet,342.0,12230.0,445870.0,33.11,4179999.9999999995,48.68,24.93,10.78,0.26,0.19,25.66,1.95,,FY 2026,FY 2025,497860.0,171550.0,251890.0,251655.55555555553,20.59,24.36607403089478,16.610004856726565,0.7041858931260502,0.5042001944747107,0.7238151252443135,0.9742975709954776,,34.457478005865106,32.03256876179128,23.587528547314072,32.943273403595796,428.07,USD,,,인터넷·플랫폼,Stock Lists Top Stocks Corporate Actions,Alphabet Inc,4,"글로벌소비트렌드,나스닥100채권혼합50,미국S&P500,미국나스닥100",5.22,0.5042001944747107,통과,,비지배괴리,2026-08-27
TSLA,Tesla,345.82,3950.0,103620.0,4.13,1370000.0,4.67,5.46,14.15,,0.18,181.67,6.71,-0.23,FY 2026,FY 2025,106030.0,4290.0,3840.0,7012.029379445955,1.77,319.34731934731934,195.3785310734463,16.54263044794189,,15.202988760644422,13.885818154862468,,4.04602470998774,4.597701149425287,11.810608457239269,-1.6055045871559592,390.09,USD,,,미분류,Stock Lists Top Analysts Top Stocks Corporate Actions,Tesla Inc,4,"글로벌휴머노이드로봇,나스닥100채권혼합50,미국S&P500,미국나스닥100",4.83,,탈락,"PEG매출>1,PEG영익>1,ROE<10,이익률<10,fPER>30,전년이익률<5",,2026-08-27
HOOD,Robinhood,108.54,899.08,4930.0,46.03,97590.0,23.62,7.01,13.78,,2.4,45.86,2.46,,FY 2026,FY 2025,5170.0,2260.0,1890.0,2247.788833609729,2.5,43.18141592920354,43.416000000000004,2.772421714285716,5.337614117647053,2.118382928944765,2.432114914799792,,43.7137330754352,46.75615212527964,15.659955257270685,8.133971291866038,120.08,USD,,,미분류,Stock Lists Top Analysts Top Stocks Corporate Actions,Robinhood Markets Inc,4,"글로벌AI인공지능,나스닥100채권혼합50,미국S&P500,미국나스닥100",3.34,5.337614117647053,탈락,"PEG매출>1,PEG영익>1,fPER>30",,2026-08-27
