종목코드,종목명,보유ETF수,보유ETF,최대비중
NVDA,NVIDIA Corp,6,"글로벌AI인공지능,글로벌소비트렌드,글로벌휴머노이드로봇,나스닥100채권혼합50,미국S&P500,미국나스닥100",10.13
TSLA,Tesla Inc,5,"글로벌AI인공지능,글로벌휴머노이드로봇,나스닥100채권혼합50,미국S&P500,미국나스닥100",8.03
META,Meta Platforms Inc,5,"글로벌AI인공지능,글로벌소비트렌드,나스닥100채권혼합50,미국S&P500,미국나스닥100",5.51
AMZN,Amazon.com Inc,5,"글로벌AI인공지능,글로벌소비트렌드,나스닥100채권혼합50,미국S&P500,미국나스닥100",4.7
LLY,Eli Lilly & Co,4,"글로벌바이오,나스닥100채권혼합50,미국S&P500,미국나스닥100",11.71
MSFT,Microsoft Corp,4,"글로벌소비트렌드,나스닥100채권혼합50,미국S&P500,미국나스닥100",8.36
AAPL,Apple Inc,4,"글로벌소비트렌드,나스닥100채권혼합50,미국S&P500,미국나스닥100",6.23
BE,Bloom Energy Corp,4,"글로벌AI인공지능,나스닥100채권혼합50,미국S&P500,미국나스닥100",6.18
DELL,Dell Technologies Inc,4,"글로벌AI인공지능,나스닥100채권혼합50,미국S&P500,미국나스닥100",6.03
INTC,Intel Corp,4,"글로벌AI인공지능,나스닥100채권혼합50,미국S&P500,미국나스닥100",5.41
SNDK,Sandisk Corp,4,"글로벌AI인공지능,나스닥100채권혼합50,미국S&P500,미국나스닥100",5.21
GOOGL,Alphabet Inc,4,"글로벌소비트렌드,나스닥100채권혼합50,미국S&P500,미국나스닥100",5.1
AMD,Advanced Micro Devices Inc,4,"글로벌AI인공지능,나스닥100채권혼합50,미국S&P500,미국나스닥100",4.3
SNOW,Snowflake Inc,4,"글로벌AI인공지능,나스닥100채권혼합50,미국S&P500,미국나스닥100",3.68
PLTR,Palantir Technologies Inc,4,"글로벌우주테크&방산,나스닥100채권혼합50,미국S&P500,미국나스닥100",3.57
LITE,Lumentum Holdings Inc,4,"글로벌AI인공지능,나스닥100채권혼합50,미국S&P500,미국나스닥100",2.92
HOOD,Robinhood Markets Inc,4,"글로벌AI인공지능,나스닥100채권혼합50,미국S&P500,미국나스닥100",2.64
NOW,ServiceNow Inc,4,"글로벌AI인공지능,글로벌소비트렌드,미국S&P500,미국나스닥100",1.8
TER,Teradyne Inc,3,"글로벌휴머노이드로봇,나스닥100채권혼합50,미국나스닥100",6.93
SPCX,Space Exploration Technologies Corp,3,"글로벌우주테크&방산,나스닥100채권혼합50,미국나스닥100",3.61
MU,Micron Technology Inc,3,"나스닥100채권혼합50,미국S&P500,미국나스닥100",3.34
MRVL,Marvell Technology Inc,3,"나스닥100채권혼합50,미국S&P500,미국나스닥100",2.61
AVGO,Broadcom Inc,3,"나스닥100채권혼합50,미국S&P500,미국나스닥100",2.55
WDC,Western Digital Corp,3,"글로벌AI인공지능,나스닥100채권혼합50,미국나스닥100",2.48
COIN,Coinbase Global Inc,3,"글로벌AI인공지능,나스닥100채권혼합50,미국나스닥100",2.3
STX,Seagate Technology Holdings PLC,3,"글로벌AI인공지능,나스닥100채권혼합50,미국나스닥100",2.3
AAOI,Applied Optoelectronics Inc,3,"글로벌AI인공지능,나스닥100채권혼합50,미국나스닥100",2.24
QCOM,QUALCOMM Inc,3,"글로벌AI인공지능,나스닥100채권혼합50,미국나스닥100",1.91
MSTR,Strategy Inc,3,"글로벌AI인공지능,나스닥100채권혼합50,미국나스닥100",1.86
VRT,Vertiv Holdings Co,3,"나스닥100채권혼합50,미국S&P500,미국나스닥100",1.44
PANW,Palo Alto Networks Inc,3,"나스닥100채권혼합50,미국S&P500,미국나스닥100",1.05
JNJ,Johnson & Johnson,2,"글로벌바이오,미국S&P500",5.94
MRK,Merck & Co Inc,2,"글로벌바이오,미국S&P500",4.77
ABT,Abbott Laboratories,2,"글로벌바이오,미국S&P500",3.21
CRM,Salesforce Inc,2,"글로벌AI인공지능,글로벌소비트렌드",2.29
CRWV,CoreWeave Inc,2,"나스닥100채권혼합50,미국나스닥100",1.85
MELI,MercadoLibre Inc,2,"글로벌AI인공지능,글로벌소비트렌드",1.74
ALAB,Astera Labs Inc,2,"나스닥100채권혼합50,미국나스닥100",1.35
KO,Coca-Cola Co/The,2,"나스닥100채권혼합50,미국S&P500",1.27
EBAY,eBay Inc,2,"글로벌AI인공지능,글로벌소비트렌드",1.25
COST,Costco Wholesale Corp,2,"나스닥100채권혼합50,미국S&P500",1.16
CRDO,Credo Technology Group Holding Ltd,2,"나스닥100채권혼합50,미국나스닥100",1.13
HSAI,Hesai Group,2,"글로벌휴머노이드로봇,차이나AI테크",1.08
WMT,Walmart Inc,2,"글로벌소비트렌드,미국S&P500",1.02
PEP,PepsiCo Inc,2,"나스닥100채권혼합50,미국S&P500",0.95
RTX,RTX Corp,1,글로벌우주테크&방산,8.85
GE,General Electric Co,1,글로벌우주테크&방산,6.91
MRNA,Moderna Inc,1,글로벌바이오,6.5
TMO,Thermo Fisher Scientific Inc,1,글로벌바이오,6.22
DIS,Walt Disney Co/The,1,글로벌소비트렌드,5.26
ILMN,Illumina Inc,1,글로벌바이오,5.22
NTRA,Natera Inc,1,글로벌바이오,4.85
GD,General Dynamics Corp,1,글로벌우주테크&방산,4.54
MOG-A,Moog Inc,1,글로벌우주테크&방산,4.53
LMT,Lockheed Martin Corp,1,글로벌우주테크&방산,4.52
BIIB,Biogen Inc,1,글로벌바이오,4.25
